,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2013-09-04,Динамо М,Трактор,0:1,2:0,3:0,:,:
1,2,2013-09-05,Металлург Нк,Сибирь,1:1,2:0,0:1,:,:
2,3,2013-09-05,Атлант,Спартак,0:0,0:1,0:1,:,:
3,4,2013-09-05,Динамо Р,Динамо Мн,2:0,0:0,0:1,:,:
4,5,2013-09-06,Амур,Адмирал,0:0,2:2,1:1,0:0,0:1
5,6,2013-09-06,Авангард,СКА,1:1,0:4,0:0,:,:
6,7,2013-09-06,Югра,Локомотив,0:0,1:1,1:0,:,:
7,8,2013-09-06,Автомобилист,Северсталь,0:0,1:1,0:0,0:0,0:1
8,10,2013-09-06,Торпедо НН,Салават Юлаев,0:2,2:0,0:0,0:0,0:1
9,11,2013-09-06,Витязь,Трактор,3:0,1:2,1:1,:,:
10,12,2013-09-06,Динамо М,Металлург Мг,1:1,1:0,1:0,:,:
11,13,2013-09-06,Донбасс,Слован,1:0,1:1,2:1,:,:
12,14,2013-09-06,Медвешчак,ЦСКА,2:0,2:1,3:0,:,:
13,706,2013-09-06,Нефтехимик,Ак Барс,1:1,0:0,2:0,:,:
14,15,2013-09-08,Авангард,Локомотив,1:0,3:1,1:1,:,:
15,16,2013-09-08,Югра,Атлант,2:0,1:0,1:1,:,:
16,17,2013-09-08,Автомобилист,СКА,0:1,1:4,3:1,:,:
17,18,2013-09-08,Барыс,Северсталь,1:0,6:1,3:0,:,:
18,19,2013-09-08,Торпедо НН,Трактор,1:3,0:0,2:1,:,:
19,20,2013-09-08,Ак Барс,Салават Юлаев,2:0,0:2,1:1,0:0,1:0
20,21,2013-09-08,Витязь,Металлург Мг,3:2,1:1,0:2,:,:
21,22,2013-09-08,Динамо М,Нефтехимик,0:0,2:0,2:0,:,:
22,23,2013-09-08,Спартак,Слован,0:0,3:0,2:0,:,:
23,24,2013-09-08,Динамо Мн,ЦСКА,0:0,1:0,0:1,0:1,:
