,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
24,25,2013-09-08,Донбасс,Лев Пр,0:1,1:1,1:0,1:0,:
25,26,2013-09-08,Медвешчак,Динамо Р,0:1,1:1,0:3,:,:
26,27,2013-09-09,Металлург Нк,Амур,0:0,2:1,1:0,:,:
27,28,2013-09-09,Сибирь,Адмирал,0:0,1:1,2:1,:,:
28,29,2013-09-10,Авангард,Северсталь,2:0,1:1,0:2,0:0,1:0
29,30,2013-09-10,Югра,СКА,0:2,1:2,0:1,:,:
30,31,2013-09-10,Автомобилист,Атлант,0:1,2:0,0:1,0:0,1:0
31,32,2013-09-10,Барыс,Локомотив,2:2,0:1,3:0,:,:
32,33,2013-09-10,Ак Барс,Трактор,0:0,2:1,0:1,1:0,:
33,34,2013-09-10,Торпедо НН,Металлург Мг,0:0,3:0,2:0,:,:
34,35,2013-09-10,Витязь,Нефтехимик,1:0,0:0,0:0,:,:
35,36,2013-09-10,Динамо М,Салават Юлаев,2:1,1:0,1:0,:,:
36,37,2013-09-10,Спартак,Динамо Р,0:0,1:1,0:2,:,:
37,38,2013-09-10,Донбасс,ЦСКА,1:1,0:1,0:2,:,:
38,39,2013-09-10,Динамо Мн,Слован,0:0,0:0,2:0,:,:
39,40,2013-09-10,Медвешчак,Лев Пр,0:0,0:1,1:2,:,:
40,41,2013-09-11,Металлург Нк,Адмирал,0:0,1:0,0:1,0:1,:
41,42,2013-09-11,Сибирь,Амур,1:0,1:1,0:1,0:0,1:0
42,43,2013-09-12,Авангард,Атлант,2:2,1:1,1:0,:,:
43,44,2013-09-12,Барыс,СКА,1:2,0:3,1:0,:,:
44,45,2013-09-12,Югра,Северсталь,3:1,0:0,0:0,:,:
45,46,2013-09-12,Автомобилист,Локомотив,0:2,0:1,0:1,:,:
46,47,2013-09-12,Ак Барс,Металлург Мг,1:0,1:0,1:2,:,:
47,48,2013-09-12,Торпедо НН,Нефтехимик,0:1,0:1,0:0,:,:
48,49,2013-09-12,Витязь,Салават Юлаев,0:1,1:1,1:1,:,:
49,50,2013-09-12,Спартак,ЦСКА,0:1,2:0,1:1,:,:
50,51,2013-09-12,Донбасс,Динамо Р,1:2,0:1,1:1,:,:
51,52,2013-09-12,Динамо Мн,Лев Пр,0:1,1:2,0:0,:,:
52,53,2013-09-13,Медвешчак,Слован,1:1,2:0,0:2,0:1,:
53,54,2013-09-14,Барыс,Атлант,2:0,2:3,1:1,:,:
54,55,2013-09-14,Витязь,Динамо М,0:1,0:0,0:1,:,:
55,56,2013-09-14,Спартак,Лев Пр,1:1,2:2,1:0,:,:
56,57,2013-09-14,ЦСКА,Динамо Р,0:1,1:0,0:0,0:0,1:0
57,58,2013-09-15,Югра,Автомобилист,0:0,1:2,0:0,:,:
58,594,2013-09-15,Ак Барс,Авангард,3:0,1:0,2:0,:,:
59,60,2013-09-16,Металлург Мг,Металлург Нк,0:0,2:0,1:1,:,:
60,61,2013-09-16,Салават Юлаев,Амур,1:1,2:1,0:1,0:1,:
61,62,2013-09-16,Нефтехимик,Адмирал,1:1,2:2,2:2,0:0,1:0
62,63,2013-09-16,Локомотив,Донбасс,0:0,1:2,2:1,0:1,:
63,64,2013-09-16,Северсталь,Динамо Мн,2:1,1:0,1:1,:,:
64,65,2013-09-16,СКА,Медвешчак,1:0,1:0,1:0,:,:
65,66,2013-09-17,Барыс,Авангард,1:0,2:1,2:1,:,:
66,67,2013-09-17,ЦСКА,Динамо М,2:1,1:2,3:0,:,:
67,68,2013-09-17,Динамо Р,Ак Барс,0:1,0:2,1:0,:,:
68,69,2013-09-17,Слован,Торпедо НН,0:1,0:2,0:0,:,:
69,70,2013-09-17,Лев Пр,Витязь,0:0,3:0,1:1,:,:
70,71,2013-09-18,Трактор,Металлург Нк,2:0,2:0,1:1,:,:
71,72,2013-09-18,Металлург Мг,Сибирь,1:2,1:0,0:0,1:0,:
72,73,2013-09-18,Салават Юлаев,Адмирал,4:0,0:1,0:0,:,:
73,74,2013-09-18,Нефтехимик,Амур,2:1,3:1,1:0,:,:
74,75,2013-09-18,Локомотив,Спартак,1:1,0:0,0:0,0:0,0:1
75,76,2013-09-18,Северсталь,Медвешчак,0:1,4:1,2:0,:,:
76,77,2013-09-18,Атлант,Донбасс,0:0,1:0,0:0,:,:
77,78,2013-09-18,СКА,Динамо Мн,2:0,2:1,1:0,:,:
78,79,2013-09-19,Югра,Барыс,1:3,0:1,1:2,:,:
79,80,2013-09-19,Автомобилист,Авангард,0:0,1:1,3:0,:,:
80,81,2013-09-19,ЦСКА,Ак Барс,0:0,2:0,0:0,:,:
81,82,2013-09-19,Динамо Р,Динамо М,0:1,1:0,1:1,0:0,1:0
82,83,2013-09-19,Слован,Витязь,0:2,1:2,0:0,:,:
83,84,2013-09-19,Лев Пр,Торпедо НН,1:1,0:2,2:0,0:0,1:0
84,85,2013-09-20,Трактор,Амур,0:1,0:0,1:0,0:0,1:0
85,86,2013-09-20,Металлург Мг,Адмирал,2:1,1:0,1:0,:,:
86,87,2013-09-20,Салават Юлаев,Сибирь,1:1,0:1,1:1,:,:
87,88,2013-09-20,Нефтехимик,Металлург Нк,1:1,2:1,3:1,:,:
88,89,2013-09-20,Локомотив,Медвешчак,1:1,0:0,1:1,0:0,1:0
89,90,2013-09-20,Северсталь,Донбасс,0:2,0:0,0:2,:,:
90,91,2013-09-20,Атлант,Динамо Мн,0:1,2:0,1:1,:,:
91,92,2013-09-20,СКА,Спартак,0:1,4:0,0:0,:,:
92,93,2013-09-21,ЦСКА,Торпедо НН,1:0,0:1,0:1,:,:
93,94,2013-09-21,Динамо Р,Витязь,2:0,3:1,1:0,:,:
94,95,2013-09-21,Слован,Ак Барс,0:0,1:0,0:1,1:0,:
95,96,2013-09-21,Лев Пр,Динамо М,1:0,1:1,0:0,:,:
96,97,2013-09-22,Авангард,Югра,1:1,0:4,1:1,:,:
97,98,2013-09-22,Барыс,Автомобилист,2:2,2:0,3:0,:,:
98,99,2013-09-22,Трактор,Адмирал,1:1,2:0,0:0,:,:
99,100,2013-09-22,Металлург Мг,Амур,2:0,2:1,2:0,:,:
100,101,2013-09-22,Салават Юлаев,Металлург Нк,1:1,2:1,1:1,:,:
101,102,2013-09-22,Нефтехимик,Сибирь,1:2,1:0,2:1,:,:
102,103,2013-09-22,Локомотив,Динамо Мн,1:0,2:1,1:0,:,:
103,104,2013-09-22,Северсталь,Спартак,2:1,0:2,2:1,0:1,:
104,105,2013-09-22,Атлант,Медвешчак,0:0,0:0,2:2,1:0,:
105,106,2013-09-22,СКА,Донбасс,0:2,1:1,1:1,:,:
106,107,2013-09-23,Динамо Р,Торпедо НН,0:0,2:2,0:1,:,:
107,108,2013-09-23,Слован,Динамо М,1:0,2:1,1:4,:,:
108,109,2013-09-23,Лев Пр,Ак Барс,0:1,0:1,1:0,:,:
109,59,2013-09-24,Трактор,Сибирь,0:0,1:0,0:0,:,:
110,110,2013-09-24,Витязь,ЦСКА,1:0,2:2,0:0,:,:
111,702,2013-09-24,Медвешчак,СКА,1:1,1:0,1:2,0:0,1:0
112,111,2013-09-26,Атлант,Витязь,0:0,2:0,1:1,:,:
113,112,2013-09-26,Спартак,Автомобилист,0:0,1:1,0:0,0:0,0:1
114,113,2013-09-26,Донбасс,Барыс,1:3,0:1,1:0,:,:
115,114,2013-09-26,Медвешчак,Югра,0:1,1:0,1:0,:,:
116,159,2013-09-26,Трактор,Металлург Мг,0:2,0:2,0:1,:,:
117,115,2013-09-27,Адмирал,ЦСКА,1:0,3:1,0:1,:,:
118,116,2013-09-27,Амур,Динамо Р,1:0,0:1,1:0,:,:
119,117,2013-09-27,Металлург Нк,Лев Пр,2:1,0:3,1:1,:,:
120,118,2013-09-27,Сибирь,Слован,0:0,1:1,2:0,:,:
121,120,2013-09-27,Салават Юлаев,Нефтехимик,1:1,1:0,0:0,:,:
122,121,2013-09-27,Ак Барс,Северсталь,1:0,0:0,0:0,:,:
123,122,2013-09-27,Торпедо НН,Локомотив,2:0,2:0,1:0,:,:
124,123,2013-09-27,Динамо М,СКА,1:2,1:0,0:4,:,:
125,124,2013-09-28,Спартак,Авангард,1:0,0:2,1:0,0:0,1:0
126,125,2013-09-28,Донбасс,Югра,0:0,0:0,2:0,:,:
127,126,2013-09-28,Динамо Мн,Автомобилист,0:0,1:0,1:0,:,:
128,127,2013-09-28,Медвешчак,Барыс,1:0,1:1,1:1,:,:
129,128,2013-09-29,Адмирал,Динамо Р,0:0,1:0,2:0,:,:
130,129,2013-09-29,Амур,ЦСКА,1:1,0:1,0:1,:,:
131,130,2013-09-29,Металлург Нк,Слован,0:0,0:2,1:1,:,:
132,131,2013-09-29,Сибирь,Лев Пр,4:0,0:3,1:0,:,:
133,132,2013-09-29,Металлург Мг,Нефтехимик,0:2,2:0,2:1,:,:
134,133,2013-09-29,Салават Юлаев,Трактор,0:0,1:1,2:0,:,:
135,134,2013-09-29,Ак Барс,Локомотив,0:0,0:0,2:0,:,:
136,135,2013-09-29,Торпедо НН,Северсталь,0:1,0:0,0:1,:,:
137,136,2013-09-29,Витязь,СКА,0:0,1:1,1:1,0:0,0:1
138,137,2013-09-29,Динамо М,Атлант,0:0,2:1,1:1,:,:
139,138,2013-09-30,Спартак,Югра,0:0,0:0,0:1,:,:
140,139,2013-09-30,Донбасс,Авангард,4:0,1:1,1:0,:,:
141,140,2013-09-30,Динамо Мн,Барыс,0:1,2:3,0:1,:,:
142,141,2013-09-30,Медвешчак,Автомобилист,1:0,1:0,1:0,:,:
143,142,2013-10-01,Адмирал,Лев Пр,1:1,0:1,1:0,0:1,:
144,143,2013-10-01,Амур,Слован,1:4,1:1,0:0,:,:
145,144,2013-10-01,Металлург Нк,ЦСКА,1:0,0:2,1:0,0:1,:
146,145,2013-10-01,Сибирь,Динамо Р,1:2,0:1,0:1,:,:
147,146,2013-10-01,Ак Барс,Атлант,1:1,1:0,2:1,:,:
148,147,2013-10-01,Торпедо НН,СКА,2:0,3:2,0:0,:,:
149,148,2013-10-01,Витязь,Локомотив,1:1,0:1,1:1,:,:
150,149,2013-10-01,Динамо М,Северсталь,3:0,0:1,0:0,:,:
151,150,2013-10-02,Нефтехимик,Салават Юлаев,0:2,3:1,0:0,1:0,:
152,151,2013-10-02,Спартак,Барыс,1:2,0:0,2:2,:,:
153,152,2013-10-02,Донбасс,Автомобилист,0:1,3:1,1:0,:,:
154,153,2013-10-02,Динамо Мн,Югра,2:1,3:1,0:1,:,:
155,154,2013-10-02,Медвешчак,Авангард,0:0,2:0,2:0,:,:
156,119,2013-10-03,Металлург Мг,Трактор,1:0,1:0,1:0,:,:
157,155,2013-10-03,Адмирал,Слован,0:0,2:1,1:0,:,:
158,156,2013-10-03,Амур,Лев Пр,0:0,1:0,2:0,:,:
159,157,2013-10-03,Металлург Нк,Динамо Р,0:1,0:1,0:0,:,:
160,158,2013-10-03,Сибирь,ЦСКА,0:0,3:1,0:1,:,:
161,160,2013-10-03,Ак Барс,СКА,0:0,1:1,0:2,:,:
162,161,2013-10-03,Торпедо НН,Атлант,1:0,0:1,0:2,:,:
163,162,2013-10-03,Витязь,Северсталь,0:1,0:0,3:0,:,:
164,163,2013-10-03,Динамо М,Локомотив,0:0,0:2,1:1,:,:
165,164,2013-10-04,Динамо Мн,Авангард,3:2,1:1,0:0,:,:
166,165,2013-10-05,Динамо М,Спартак,1:0,0:1,1:0,:,:
167,166,2013-10-06,Автомобилист,Донбасс,0:2,0:0,0:1,:,:
168,167,2013-10-07,Локомотив,Металлург Нк,0:0,0:0,0:0,1:0,:
169,168,2013-10-07,Северсталь,Сибирь,0:1,1:2,1:0,:,:
170,169,2013-10-07,Атлант,Адмирал,0:1,1:0,1:0,:,:
171,170,2013-10-07,СКА,Амур,2:0,1:2,0:1,1:0,:
172,171,2013-10-07,ЦСКА,Салават Юлаев,2:1,0:1,1:0,:,:
173,172,2013-10-07,Лев Пр,Металлург Мг,0:0,2:1,1:2,0:1,:
174,173,2013-10-07,Медвешчак,Нефтехимик,3:0,3:0,0:0,:,:
175,174,2013-10-08,Авангард,Динамо М,0:3,0:2,0:1,:,:
176,175,2013-10-08,Барыс,Витязь,0:0,1:1,1:1,0:0,1:0
177,176,2013-10-08,Югра,Ак Барс,1:2,1:0,1:1,0:1,:
178,177,2013-10-08,Автомобилист,Торпедо НН,1:3,0:1,1:0,:,:
179,178,2013-10-08,Спартак,Донбасс,0:0,1:0,1:1,:,:
180,179,2013-10-09,Локомотив,Адмирал,2:0,2:0,0:0,:,:
181,180,2013-10-09,Северсталь,Амур,2:0,0:2,1:0,:,:
182,181,2013-10-09,Атлант,Металлург Нк,1:0,1:0,0:1,:,:
183,182,2013-10-09,СКА,Сибирь,1:0,0:0,0:1,0:0,0:1
184,183,2013-10-09,ЦСКА,Трактор,0:1,0:1,1:1,:,:
185,184,2013-10-09,Динамо Мн,Медвешчак,2:1,0:1,0:0,0:1,:
186,185,2013-10-09,Динамо Р,Салават Юлаев,1:1,1:3,0:1,:,:
187,186,2013-10-09,Слован,Металлург Мг,2:1,1:1,0:1,1:0,:
188,187,2013-10-09,Лев Пр,Нефтехимик,0:0,1:0,1:0,:,:
189,188,2013-10-10,Авангард,Витязь,2:0,0:0,1:1,:,:
190,189,2013-10-10,Барыс,Динамо М,0:0,1:2,2:1,0:0,1:0
191,190,2013-10-10,Югра,Торпедо НН,2:1,1:2,1:0,:,:
192,191,2013-10-10,Автомобилист,Ак Барс,1:0,0:2,1:0,0:0,0:1
193,192,2013-10-11,Локомотив,Амур,0:0,0:0,0:0,0:0,0:1
194,193,2013-10-11,Северсталь,Адмирал,1:2,1:1,2:1,0:0,1:0
195,194,2013-10-11,Атлант,Сибирь,0:1,0:0,1:0,0:1,:
196,195,2013-10-11,СКА,Металлург Нк,1:0,2:0,1:1,:,:
197,196,2013-10-11,ЦСКА,Металлург Мг,0:0,0:1,1:0,0:0,1:0
198,197,2013-10-11,Донбасс,Медвешчак,1:2,0:1,1:2,:,:
199,198,2013-10-11,Динамо Мн,Спартак,1:1,0:0,2:0,:,:
200,199,2013-10-11,Динамо Р,Нефтехимик,1:0,0:1,1:0,:,:
201,200,2013-10-11,Слован,Салават Юлаев,1:1,0:0,0:0,0:0,1:0
202,201,2013-10-11,Лев Пр,Трактор,2:1,3:0,2:1,:,:
203,202,2013-10-12,Авангард,Торпедо НН,0:1,2:0,3:0,:,:
204,203,2013-10-12,Барыс,Ак Барс,0:1,0:2,0:2,:,:
205,204,2013-10-12,Югра,Витязь,2:1,1:0,0:0,:,:
206,205,2013-10-12,Автомобилист,Динамо М,0:2,2:0,0:2,:,:
207,206,2013-10-13,Атлант,Амур,0:1,0:0,1:0,0:0,1:0
208,207,2013-10-13,Локомотив,Сибирь,0:0,0:0,1:1,0:0,0:1
209,208,2013-10-13,Северсталь,Металлург Нк,2:1,2:1,1:0,:,:
210,209,2013-10-13,СКА,Адмирал,1:2,0:1,0:0,:,:
211,210,2013-10-13,ЦСКА,Нефтехимик,0:0,2:0,0:1,:,:
212,211,2013-10-13,Динамо Мн,Донбасс,1:2,0:2,1:0,:,:
213,212,2013-10-13,Динамо Р,Металлург Мг,0:1,0:1,2:0,1:0,:
214,213,2013-10-13,Слован,Трактор,1:3,2:1,3:1,:,:
215,214,2013-10-13,Лев Пр,Салават Юлаев,0:1,0:2,2:0,:,:
216,215,2013-10-13,Медвешчак,Спартак,1:0,1:1,0:1,0:0,0:1
217,216,2013-10-14,Авангард,Ак Барс,1:2,1:0,0:0,0:1,:
218,217,2013-10-14,Барыс,Торпедо НН,1:0,1:1,2:1,:,:
219,218,2013-10-14,Югра,Динамо М,1:0,0:2,0:2,:,:
220,219,2013-10-14,Автомобилист,Витязь,1:1,0:0,0:0,0:0,1:0
221,220,2013-10-15,Слован,Лев Пр,2:0,1:0,2:2,:,:
222,221,2013-10-16,Трактор,СКА,0:2,0:3,0:2,:,:
223,222,2013-10-16,Металлург Мг,Атлант,2:1,1:1,1:1,:,:
224,223,2013-10-16,Салават Юлаев,Локомотив,1:0,1:1,1:0,:,:
225,224,2013-10-16,Нефтехимик,Северсталь,1:0,0:1,0:1,:,:
226,225,2013-10-17,Адмирал,Югра,1:0,1:1,0:2,:,:
227,226,2013-10-17,Амур,Автомобилист,1:1,1:1,1:3,:,:
228,227,2013-10-17,Металлург Нк,Барыс,1:1,1:1,1:3,:,:
229,228,2013-10-17,Сибирь,Авангард,0:1,2:0,0:0,:,:
230,229,2013-10-17,Ак Барс,Медвешчак,2:0,2:1,1:2,:,:
231,230,2013-10-17,Торпедо НН,Донбасс,0:0,0:0,1:0,:,:
232,231,2013-10-17,Витязь,Динамо Мн,0:0,0:1,1:0,0:0,1:0
233,232,2013-10-17,Слован,Динамо Р,1:0,2:3,0:1,:,:
234,233,2013-10-18,Трактор,Атлант,1:1,1:1,0:1,:,:
235,234,2013-10-18,Металлург Мг,СКА,1:1,0:2,0:1,:,:
236,235,2013-10-18,Салават Юлаев,Северсталь,4:1,1:0,3:2,:,:
237,236,2013-10-18,Нефтехимик,Локомотив,1:1,0:0,0:1,:,:
238,237,2013-10-19,Адмирал,Автомобилист,2:0,0:1,0:0,:,:
239,238,2013-10-19,Амур,Югра,1:0,2:2,1:0,:,:
240,239,2013-10-19,Металлург Нк,Авангард,1:1,1:2,2:0,:,:
241,240,2013-10-19,Сибирь,Барыс,1:0,1:2,0:1,:,:
242,241,2013-10-19,Ак Барс,Динамо Мн,2:0,2:0,1:1,:,:
243,242,2013-10-19,Торпедо НН,Спартак,0:0,3:1,0:2,0:1,:
244,243,2013-10-19,Витязь,Донбасс,1:1,1:1,2:0,:,:
245,244,2013-10-19,Динамо М,Медвешчак,0:1,1:1,3:1,:,:
246,245,2013-10-19,Лев Пр,ЦСКА,0:1,1:0,0:1,:,:
247,246,2013-10-20,Трактор,Локомотив,0:0,2:1,0:0,:,:
248,247,2013-10-20,Металлург Мг,Северсталь,1:1,1:1,2:0,:,:
249,248,2013-10-20,Салават Юлаев,СКА,2:1,0:0,2:1,:,:
250,249,2013-10-20,Нефтехимик,Атлант,1:2,1:1,1:0,0:0,0:1
251,250,2013-10-21,Амур,Авангард,0:3,1:2,1:0,:,:
252,251,2013-10-21,Адмирал,Барыс,0:1,1:1,0:1,:,:
253,252,2013-10-21,Сибирь,Автомобилист,0:1,1:2,2:0,0:0,0:1
254,253,2013-10-21,Металлург Нк,Югра,1:0,0:1,1:0,:,:
255,254,2013-10-21,Торпедо НН,Динамо Мн,2:0,0:0,1:0,:,:
256,255,2013-10-21,Ак Барс,Спартак,0:0,1:0,1:0,:,:
257,256,2013-10-21,Витязь,Медвешчак,1:0,0:0,0:0,:,:
258,257,2013-10-21,Динамо М,Донбасс,1:1,0:1,0:0,:,:
259,258,2013-10-21,Слован,ЦСКА,1:0,0:0,1:3,:,:
260,259,2013-10-21,Лев Пр,Динамо Р,1:1,0:0,0:0,0:0,1:0
261,260,2013-10-22,Трактор,Северсталь,1:0,1:1,0:1,0:0,1:0
262,261,2013-10-22,Металлург Мг,Локомотив,1:1,0:0,0:0,0:0,0:1
263,262,2013-10-22,Салават Юлаев,Атлант,0:0,0:1,3:0,:,:
264,263,2013-10-22,Нефтехимик,СКА,0:1,1:1,0:1,:,:
265,264,2013-10-23,Адмирал,Авангард,3:0,1:1,0:0,:,:
266,265,2013-10-23,Амур,Барыс,2:1,1:0,0:3,:,:
267,266,2013-10-23,Металлург Нк,Автомобилист,0:0,0:1,1:2,:,:
268,267,2013-10-23,Сибирь,Югра,2:0,2:2,3:0,:,:
269,268,2013-10-23,Ак Барс,Донбасс,0:0,0:0,1:0,:,:
270,269,2013-10-23,Торпедо НН,Медвешчак,0:0,1:0,0:1,1:0,:
271,270,2013-10-23,Динамо М,Динамо Мн,0:0,1:0,3:0,:,:
272,271,2013-10-23,Динамо Р,ЦСКА,3:1,0:2,1:0,:,:
273,272,2013-10-24,Спартак,Витязь,0:1,0:0,2:1,1:0,:
274,273,2013-10-25,ЦСКА,Атлант,0:2,1:0,0:2,:,:
275,284,2013-10-25,Динамо Мн,Амур,0:1,1:0,1:1,0:0,1:0
276,274,2013-10-26,Авангард,Трактор,0:1,1:0,0:0,0:0,0:1
277,275,2013-10-26,Барыс,Металлург Мг,1:1,0:0,0:1,:,:
278,276,2013-10-26,Югра,Нефтехимик,0:2,1:3,2:1,:,:
279,277,2013-10-26,Автомобилист,Салават Юлаев,1:3,3:0,3:1,:,:
280,278,2013-10-26,Локомотив,Лев Пр,0:1,0:1,0:0,:,:
281,279,2013-10-26,Северсталь,Слован,1:0,1:0,0:0,:,:
282,280,2013-10-26,СКА,Динамо Р,2:1,0:1,1:1,0:0,1:0
283,281,2013-10-26,Спартак,Адмирал,0:0,0:1,1:2,:,:
284,282,2013-10-26,Витязь,Металлург Нк,0:0,0:0,0:0,1:0,:
285,283,2013-10-26,Динамо М,Сибирь,2:0,2:1,1:0,:,:
286,285,2013-10-28,Авангард,Металлург Мг,2:0,0:2,0:3,:,:
287,286,2013-10-28,Барыс,Трактор,0:0,0:3,1:2,:,:
288,287,2013-10-28,Югра,Салават Юлаев,1:3,2:0,1:2,:,:
289,288,2013-10-28,Автомобилист,Нефтехимик,1:0,1:1,1:1,:,:
290,289,2013-10-28,Локомотив,Слован,2:0,0:0,0:1,:,:
291,290,2013-10-28,Северсталь,Лев Пр,0:0,0:1,2:0,:,:
292,291,2013-10-28,Атлант,Динамо Р,0:0,0:0,1:1,0:0,0:1
293,292,2013-10-28,СКА,ЦСКА,2:0,3:1,0:1,:,:
294,293,2013-10-28,Спартак,Металлург Нк,1:0,2:4,2:0,:,:
295,294,2013-10-28,Динамо М,Торпедо НН,1:1,1:0,0:0,:,:
296,295,2013-10-28,Донбасс,Адмирал,0:0,2:1,0:0,:,:
297,296,2013-10-28,Динамо Мн,Сибирь,0:1,1:2,1:1,:,:
298,297,2013-10-28,Медвешчак,Амур,0:0,1:0,1:1,:,:
299,298,2013-10-29,Ак Барс,Витязь,1:0,2:2,1:2,0:0,0:1
300,299,2013-10-30,Авангард,Салават Юлаев,0:0,0:0,1:1,0:0,1:0
301,300,2013-10-30,Барыс,Нефтехимик,2:1,2:0,1:0,:,:
302,301,2013-10-30,Югра,Металлург Мг,1:4,1:1,0:0,:,:
303,302,2013-10-30,Автомобилист,Трактор,1:0,1:0,0:0,:,:
304,303,2013-10-30,Локомотив,Динамо Р,0:2,0:0,1:0,:,:
305,304,2013-10-30,Северсталь,ЦСКА,1:1,1:1,0:0,0:0,0:1
306,305,2013-10-30,Атлант,Слован,0:0,0:1,0:0,:,:
307,306,2013-10-30,СКА,Лев Пр,0:0,0:0,5:0,:,:
308,307,2013-10-30,Спартак,Сибирь,0:0,1:0,0:0,:,:
309,308,2013-10-30,Донбасс,Амур,3:1,1:0,1:0,:,:
310,309,2013-10-30,Динамо Мн,Металлург Нк,0:1,2:0,3:1,:,:
311,310,2013-10-30,Медвешчак,Адмирал,1:0,1:0,0:2,0:0,1:0
312,311,2013-10-31,Ак Барс,Динамо М,1:1,2:0,0:1,:,:
313,312,2013-10-31,Торпедо НН,Витязь,1:0,1:0,3:0,:,:
314,313,2013-11-01,Авангард,Нефтехимик,1:0,3:2,0:0,:,:
315,314,2013-11-01,Барыс,Салават Юлаев,2:0,0:2,1:0,:,:
316,315,2013-11-01,Югра,Трактор,0:0,1:2,2:1,0:1,:
317,316,2013-11-01,Автомобилист,Металлург Мг,1:0,3:2,0:2,0:0,1:0
318,317,2013-11-01,Локомотив,ЦСКА,1:1,0:0,0:2,:,:
319,318,2013-11-01,Северсталь,Динамо Р,0:1,0:0,0:0,:,:
320,319,2013-11-01,Атлант,Лев Пр,0:1,0:2,0:1,:,:
321,320,2013-11-01,СКА,Слован,1:1,2:0,1:1,:,:
322,321,2013-11-01,Спартак,Амур,0:0,0:0,1:0,:,:
323,322,2013-11-01,Донбасс,Сибирь,0:0,1:1,0:1,:,:
324,323,2013-11-01,Динамо Мн,Адмирал,2:1,1:1,0:1,0:0,0:1
325,324,2013-11-01,Медвешчак,Металлург Нк,1:0,1:2,1:1,0:0,1:0
326,689,2013-11-03,Авангард,Автомобилист,0:1,0:1,1:0,:,:
327,691,2013-11-03,Ак Барс,ЦСКА,1:0,1:0,2:1,:,:
328,325,2013-11-13,Адмирал,Ак Барс,0:0,2:1,1:1,:,:
329,326,2013-11-13,Амур,Торпедо НН,0:0,0:1,1:0,0:0,0:1
330,327,2013-11-13,Металлург Нк,Витязь,0:0,0:2,0:0,:,:
331,328,2013-11-13,Сибирь,Динамо М,0:0,0:0,1:0,:,:
332,329,2013-11-13,Трактор,Донбасс,0:0,0:0,0:1,:,:
333,330,2013-11-13,Металлург Мг,Динамо Мн,1:0,1:0,1:0,:,:
334,331,2013-11-13,Салават Юлаев,Спартак,1:1,0:0,0:0,0:1,:
335,332,2013-11-13,Нефтехимик,Медвешчак,1:0,1:2,0:0,0:0,1:0
336,333,2013-11-13,ЦСКА,Авангард,0:0,1:1,2:0,:,:
337,334,2013-11-13,Динамо Р,Барыс,1:0,1:2,0:0,0:0,1:0
338,335,2013-11-13,Слован,Югра,0:1,0:1,2:0,0:0,1:0
339,336,2013-11-13,Лев Пр,Автомобилист,1:0,1:1,0:1,1:0,:
340,337,2013-11-14,Локомотив,СКА,0:0,0:0,2:0,:,:
341,338,2013-11-14,Атлант,Северсталь,1:1,0:0,1:1,0:0,1:0
342,339,2013-11-15,Адмирал,Торпедо НН,0:0,3:0,2:0,:,:
343,340,2013-11-15,Амур,Ак Барс,3:1,0:1,3:1,:,:
344,341,2013-11-15,Металлург Нк,Динамо М,2:0,1:1,0:2,0:1,:
345,342,2013-11-15,Сибирь,Витязь,1:0,2:0,0:1,:,:
