,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
50,51,2015-09-01,Динамо М,Адмирал,0:3,2:0,1:0,0:0,0:1
51,52,2015-09-01,Слован,Сибирь,0:0,2:2,0:1,:,:
52,53,2015-09-01,ЦСКА,Динамо Р,1:0,2:0,2:0,:,:
53,54,2015-09-01,Медвешчак,Металлург Нк,2:1,0:1,1:1,0:0,1:0
54,55,2015-09-02,Северсталь,Торпедо НН,2:1,0:2,1:0,0:0,1:0
55,56,2015-09-02,Йокерит,Динамо Мн,0:0,0:0,0:1,:,:
56,57,2015-09-03,Металлург Мг,Барыс,0:2,2:0,0:0,0:0,1:0
57,58,2015-09-03,Салават Юлаев,Авангард,0:2,2:0,0:1,:,:
58,59,2015-09-03,Локомотив,ХК Сочи,2:0,1:0,0:0,:,:
59,60,2015-09-03,Медвешчак,Динамо Р,0:0,1:0,0:1,1:0,:
60,61,2015-09-04,Металлург Нк,Спартак,1:1,0:0,1:0,:,:
61,62,2015-09-04,Автомобилист,Ак Барс,2:1,3:0,0:2,:,:
62,63,2015-09-04,Сибирь,СКА,2:1,1:0,2:1,:,:
63,64,2015-09-04,Югра,Лада,0:1,2:1,0:0,1:0,:
64,65,2015-09-04,Северсталь,Трактор,0:0,0:1,0:2,:,:
65,66,2015-09-04,Динамо М,Витязь,1:0,1:3,0:0,:,:
66,67,2015-09-04,ЦСКА,Нефтехимик,2:0,0:0,2:1,:,:
67,68,2015-09-05,Амур,Адмирал,2:1,0:2,0:1,:,:
68,69,2015-09-05,Металлург Мг,Авангард,0:1,1:1,1:0,0:0,1:0
69,70,2015-09-06,Металлург Нк,СКА,2:1,1:0,1:2,:,:
70,71,2015-09-06,Автомобилист,Лада,1:0,1:1,2:0,:,:
71,72,2015-09-06,Барыс,Локомотив,2:2,2:0,0:1,:,:
72,73,2015-09-06,Сибирь,Спартак,2:1,0:0,0:0,:,:
73,74,2015-09-06,Югра,Ак Барс,0:1,1:1,1:1,:,:
74,75,2015-09-06,Северсталь,Нефтехимик,0:2,1:1,0:1,:,:
75,76,2015-09-06,Слован,Медвешчак,0:1,0:0,3:1,:,:
76,77,2015-09-06,Торпедо НН,Витязь,0:0,1:0,0:0,:,:
77,78,2015-09-06,ЦСКА,Трактор,0:0,2:0,1:0,:,:
78,79,2015-09-08,Амур,СКА,0:0,0:2,0:1,:,:
79,80,2015-09-08,Адмирал,Спартак,1:1,1:0,2:0,:,:
80,81,2015-09-08,Металлург Нк,Динамо Р,1:1,0:0,0:3,:,:
81,82,2015-09-08,Авангард,Ак Барс,0:0,0:1,2:1,0:0,0:1
82,83,2015-09-08,Автомобилист,Локомотив,0:2,0:0,2:0,0:1,:
83,84,2015-09-08,Барыс,Лада,0:0,0:5,0:1,:,:
84,85,2015-09-08,Сибирь,Йокерит,0:0,0:2,0:0,:,:
85,86,2015-09-08,Югра,ХК Сочи,1:1,0:1,2:0,:,:
86,87,2015-09-08,Динамо Мн,Трактор,1:0,2:0,1:0,:,:
87,88,2015-09-08,Динамо М,Медвешчак,2:0,0:0,0:1,:,:
88,89,2015-09-08,Торпедо НН,Нефтехимик,0:0,0:1,1:0,0:1,:
89,90,2015-09-09,ЦСКА,Салават Юлаев,1:0,1:2,3:0,:,:
90,91,2015-09-10,Амур,Спартак,0:2,1:0,0:0,:,:
91,92,2015-09-10,Адмирал,СКА,1:0,0:3,0:2,:,:
92,93,2015-09-10,Металлург Нк,Йокерит,0:2,1:0,1:1,:,:
93,94,2015-09-10,Авангард,Лада,1:0,5:0,0:1,:,:
94,95,2015-09-10,Автомобилист,ХК Сочи,1:2,0:0,0:2,:,:
95,96,2015-09-10,Барыс,Ак Барс,1:1,1:0,1:0,:,:
96,97,2015-09-10,Сибирь,Динамо Р,1:0,1:0,2:1,:,:
97,98,2015-09-10,Югра,Локомотив,1:1,1:0,0:0,:,:
98,99,2015-09-10,Витязь,Медвешчак,0:1,2:1,1:1,0:0,1:0
99,100,2015-09-10,Динамо Мн,Нефтехимик,0:0,1:2,1:0,0:0,0:1
100,101,2015-09-10,Динамо М,Слован,0:1,1:1,0:0,:,:
101,102,2015-09-10,Торпедо НН,Трактор,0:0,2:0,1:0,:,:
102,103,2015-09-11,Северсталь,Салават Юлаев,1:1,0:1,0:0,:,:
103,104,2015-09-11,ЦСКА,Металлург Мг,1:0,0:2,0:1,:,:
104,105,2015-09-12,Амур,Динамо Р,3:0,0:2,0:0,:,:
105,106,2015-09-12,Адмирал,Йокерит,0:2,0:1,1:3,:,:
106,107,2015-09-12,Авангард,Локомотив,1:0,0:0,2:0,:,:
107,108,2015-09-12,Барыс,ХК Сочи,0:1,2:1,0:0,1:0,:
108,109,2015-09-12,Витязь,Слован,0:1,0:3,2:1,:,:
109,110,2015-09-13,Лада,Югра,0:0,0:2,1:0,:,:
110,111,2015-09-13,Северсталь,Металлург Мг,0:2,2:2,1:0,:,:
111,112,2015-09-13,Ак Барс,Салават Юлаев,0:2,2:0,1:1,0:0,0:1
112,113,2015-09-13,ЦСКА,Автомобилист,2:0,1:1,1:0,:,:
113,114,2015-09-14,Амур,Йокерит,2:0,0:3,0:0,:,:
114,115,2015-09-14,Адмирал,Динамо Р,0:1,1:1,1:2,:,:
115,116,2015-09-14,Авангард,ХК Сочи,3:0,1:0,1:1,:,:
116,117,2015-09-14,Трактор,Сибирь,0:0,1:0,0:1,0:1,:
117,118,2015-09-14,Нефтехимик,Металлург Нк,0:0,0:0,1:0,:,:
118,119,2015-09-14,Витязь,Торпедо НН,0:0,0:0,0:0,1:0,:
119,120,2015-09-14,Спартак,Динамо Мн,0:1,0:3,1:0,:,:
120,121,2015-09-14,Медвешчак,Слован,1:2,0:0,1:0,0:1,:
121,122,2015-09-15,Северсталь,Автомобилист,0:0,2:1,2:0,:,:
122,123,2015-09-15,Локомотив,Металлург Мг,1:0,1:0,1:0,:,:
123,124,2015-09-15,СКА,Динамо М,0:1,1:2,1:1,:,:
124,125,2015-09-15,ЦСКА,Югра,0:0,4:0,0:0,:,:
125,126,2015-09-16,Салават Юлаев,Барыс,0:0,0:0,1:1,0:0,1:0
126,127,2015-09-16,Трактор,Металлург Нк,1:2,1:0,0:1,:,:
127,128,2015-09-16,Лада,Торпедо НН,0:0,1:2,0:0,:,:
128,129,2015-09-16,Нефтехимик,Сибирь,1:0,0:0,0:1,0:0,0:1
129,130,2015-09-16,Ак Барс,Динамо Мн,1:1,1:1,2:3,:,:
130,131,2015-09-17,Йокерит,Динамо М,0:0,2:0,0:1,:,:
131,132,2015-09-17,Слован,СКА,0:1,0:0,1:0,0:1,:
132,133,2015-09-17,Динамо Р,Витязь,0:0,1:3,0:1,:,:
133,134,2015-09-17,Медвешчак,Спартак,1:1,0:3,0:3,:,:
134,135,2015-09-18,Автомобилист,Авангард,1:0,0:0,1:2,1:0,:
135,136,2015-09-18,Металлург Мг,Сибирь,0:0,2:2,0:0,0:0,1:0
136,137,2015-09-18,Салават Юлаев,Металлург Нк,1:0,2:0,1:1,:,:
137,138,2015-09-18,Трактор,Адмирал,0:1,1:0,0:0,0:0,1:0
138,139,2015-09-18,Югра,Барыс,0:0,0:0,1:0,:,:
139,140,2015-09-18,Лада,Северсталь,0:0,0:1,0:1,:,:
140,141,2015-09-18,Нефтехимик,Амур,1:2,0:0,2:0,:,:
141,142,2015-09-18,Ак Барс,ЦСКА,1:0,2:2,3:1,:,:
142,143,2015-09-18,Локомотив,Динамо Мн,1:0,2:0,1:0,:,:
143,144,2015-09-18,ХК Сочи,Торпедо НН,0:0,0:1,0:0,:,:
144,145,2015-09-19,Йокерит,Витязь,1:0,0:1,0:0,0:0,0:1
145,146,2015-09-19,Слован,Спартак,0:1,0:0,2:4,:,:
146,147,2015-09-19,Медвешчак,СКА,1:1,2:1,0:2,:,:
147,148,2015-09-20,Автомобилист,Барыс,0:1,1:0,0:0,0:0,1:0
148,149,2015-09-20,Металлург Мг,Металлург Нк,1:1,3:1,1:0,:,:
149,150,2015-09-20,Салават Юлаев,Сибирь,0:1,2:0,0:0,:,:
150,151,2015-09-20,Трактор,Амур,0:0,0:1,1:0,0:0,1:0
151,152,2015-09-20,Югра,Авангард,1:0,1:0,1:0,:,:
152,153,2015-09-20,Лада,ЦСКА,1:2,1:1,0:1,:,:
153,154,2015-09-20,Нефтехимик,Адмирал,1:1,0:2,1:0,:,:
154,155,2015-09-20,Ак Барс,Северсталь,1:0,0:1,2:0,:,:
155,156,2015-09-20,Локомотив,Торпедо НН,1:1,0:0,2:0,:,:
156,157,2015-09-20,ХК Сочи,Динамо Мн,1:0,1:1,2:0,:,:
157,158,2015-09-21,Динамо М,СКА,0:1,2:1,1:0,:,:
158,159,2015-09-21,Слован,Динамо Р,0:0,0:1,2:1,1:0,:
159,160,2015-09-21,Медвешчак,Витязь,1:0,0:0,2:1,:,:
160,161,2015-09-22,Барыс,Авангард,0:1,1:2,0:1,:,:
161,162,2015-09-22,Металлург Мг,Адмирал,0:0,0:1,0:1,:,:
162,163,2015-09-22,Салават Юлаев,Амур,1:1,0:1,0:2,:,:
163,164,2015-09-22,Спартак,Северсталь,0:0,1:1,1:0,:,:
164,165,2015-09-23,Металлург Нк,ХК Сочи,0:1,1:2,2:0,0:0,0:1
165,166,2015-09-23,Сибирь,Локомотив,0:0,1:0,0:0,:,:
166,167,2015-09-23,Динамо Мн,Югра,0:0,0:2,0:1,:,:
167,168,2015-09-23,Йокерит,Слован,2:0,0:0,2:1,:,:
168,169,2015-09-23,Торпедо НН,Автомобилист,1:0,1:1,0:3,:,:
169,170,2015-09-23,ЦСКА,СКА,0:1,0:1,1:0,:,:
170,171,2015-09-23,Динамо Р,Медвешчак,1:0,0:2,0:0,:,:
171,172,2015-09-24,Витязь,Нефтехимик,0:0,0:0,1:0,:,:
172,173,2015-09-24,Динамо М,Трактор,1:0,1:1,1:0,:,:
173,174,2015-09-25,Амур,Локомотив,0:0,0:0,0:1,:,:
174,175,2015-09-25,Адмирал,ХК Сочи,0:0,0:0,0:2,:,:
175,176,2015-09-25,Металлург Нк,Лада,0:0,1:0,1:0,:,:
176,177,2015-09-25,Авангард,Барыс,1:1,1:2,0:1,:,:
177,178,2015-09-25,Сибирь,Ак Барс,0:2,2:1,2:1,1:0,:
178,179,2015-09-25,Динамо Мн,Автомобилист,1:0,4:1,0:0,:,:
179,180,2015-09-25,СКА,Йокерит,0:0,5:2,1:1,:,:
180,181,2015-09-25,Спартак,Медвешчак,0:1,1:1,0:0,:,:
181,182,2015-09-25,Торпедо НН,Югра,4:0,1:0,1:0,:,:
182,183,2015-09-25,Динамо Р,Слован,0:1,1:0,0:0,0:0,0:1
183,184,2015-09-26,Витязь,Трактор,1:1,0:2,0:1,:,:
184,185,2015-09-26,Динамо М,Нефтехимик,1:0,1:0,1:0,:,:
185,186,2015-09-27,Амур,ХК Сочи,0:0,1:0,0:0,:,:
186,187,2015-09-27,Адмирал,Локомотив,0:2,0:1,0:0,:,:
187,188,2015-09-27,Металлург Нк,Ак Барс,2:1,1:2,0:0,0:0,0:1
188,189,2015-09-27,Сибирь,Лада,0:1,1:1,3:2,0:0,1:0
189,190,2015-09-27,Северсталь,Югра,1:0,1:0,1:0,:,:
190,191,2015-09-27,Спартак,Динамо Р,2:1,0:0,1:1,:,:
191,192,2015-09-27,ЦСКА,Йокерит,1:0,2:0,2:2,:,:
192,193,2015-09-28,Витязь,Металлург Мг,2:3,0:3,0:1,:,:
193,194,2015-09-28,Динамо М,Салават Юлаев,2:0,1:0,3:3,:,:
194,195,2015-09-28,Слован,Нефтехимик,0:0,0:1,0:2,:,:
195,196,2015-09-28,Медвешчак,Трактор,0:0,1:0,1:1,:,:
196,197,2015-09-29,Амур,Ак Барс,0:0,0:0,0:0,0:0,1:0
197,198,2015-09-29,Адмирал,Лада,0:0,1:0,0:0,:,:
198,199,2015-09-29,Металлург Нк,Локомотив,1:1,0:3,0:0,:,:
199,200,2015-09-29,Автомобилист,Динамо Мн,1:1,0:0,0:3,:,:
200,201,2015-09-29,Сибирь,ХК Сочи,1:0,0:0,1:2,0:0,1:0
201,202,2015-09-29,Югра,Торпедо НН,1:0,1:1,1:1,:,:
202,203,2015-09-29,Северсталь,Барыс,0:2,3:1,1:1,1:0,:
203,204,2015-09-29,СКА,Динамо Р,0:2,1:1,0:1,:,:
204,205,2015-09-29,ЦСКА,Авангард,0:0,1:0,1:0,:,:
205,206,2015-09-30,Витязь,Салават Юлаев,0:0,2:0,1:0,:,:
206,207,2015-09-30,Динамо М,Металлург Мг,1:0,0:1,1:0,:,:
207,208,2015-09-30,Слован,Трактор,1:1,0:1,0:1,:,:
208,209,2015-09-30,Медвешчак,Нефтехимик,2:2,0:0,0:0,1:0,:
209,210,2015-10-01,Амур,Лада,0:1,2:1,1:0,:,:
210,211,2015-10-01,Адмирал,Ак Барс,1:0,0:0,0:0,:,:
211,212,2015-10-01,Автомобилист,Торпедо НН,1:1,1:1,1:0,:,:
212,213,2015-10-01,Югра,Динамо Мн,1:0,0:1,0:0,1:0,:
213,214,2015-10-01,Северсталь,Авангард,2:3,1:0,0:1,:,:
214,215,2015-10-01,Йокерит,СКА,0:1,2:1,1:0,:,:
215,216,2015-10-01,ЦСКА,Барыс,1:2,2:0,0:1,1:0,:
216,217,2015-10-01,Динамо Р,Спартак,1:1,1:2,1:0,0:0,1:0
217,218,2015-10-02,Слован,Салават Юлаев,1:0,0:3,2:0,0:1,:
218,219,2015-10-02,Медвешчак,Металлург Мг,0:0,3:0,1:1,:,:
219,220,2015-10-03,Трактор,СКА,0:0,0:1,1:0,1:0,:
220,221,2015-10-03,Нефтехимик,Спартак,0:0,2:0,1:0,:,:
221,222,2015-10-03,Динамо Мн,Авангард,0:2,0:0,4:0,:,:
222,223,2015-10-03,Локомотив,Динамо М,1:1,1:0,0:1,0:0,1:0
223,224,2015-10-03,Торпедо НН,Барыс,0:0,1:0,1:0,:,:
224,225,2015-10-03,ХК Сочи,Витязь,3:0,1:0,1:0,:,:
225,226,2015-10-04,Адмирал,Амур,1:0,0:0,1:0,:,:
226,227,2015-10-04,Автомобилист,Сибирь,2:0,0:1,0:1,0:0,0:1
227,228,2015-10-04,Югра,Металлург Нк,0:0,1:2,1:0,0:0,1:0
228,229,2015-10-04,Йокерит,ЦСКА,0:1,1:0,0:2,:,:
229,230,2015-10-04,Слован,Металлург Мг,0:1,0:1,2:3,:,:
230,231,2015-10-04,Медвешчак,Салават Юлаев,1:0,0:1,1:2,:,:
231,232,2015-10-05,Трактор,Спартак,0:1,1:0,0:0,1:0,:
232,233,2015-10-05,Лада,Динамо Р,0:0,1:1,0:0,0:0,0:1
233,234,2015-10-05,Нефтехимик,СКА,0:1,1:0,2:2,0:0,0:1
234,235,2015-10-05,Динамо Мн,Барыс,0:1,5:1,1:0,:,:
235,236,2015-10-05,Локомотив,Витязь,1:0,1:1,1:0,:,:
236,237,2015-10-05,Торпедо НН,Авангард,1:2,0:0,1:0,0:0,1:0
237,238,2015-10-05,ХК Сочи,Динамо М,1:0,1:0,2:3,:,:
238,239,2015-10-06,Автомобилист,Металлург Нк,0:0,1:1,1:0,:,:
239,240,2015-10-06,Югра,Сибирь,0:0,1:1,0:0,0:0,1:0
240,241,2015-10-06,Северсталь,ЦСКА,1:1,0:0,1:0,:,:
241,242,2015-10-07,Металлург Мг,Медвешчак,0:0,0:1,2:1,1:0,:
242,243,2015-10-07,Салават Юлаев,Слован,3:1,0:1,0:0,:,:
243,244,2015-10-07,Трактор,Йокерит,1:0,4:1,0:2,:,:
244,245,2015-10-07,Лада,Витязь,0:0,1:0,0:0,:,:
245,246,2015-10-07,Нефтехимик,Динамо Р,0:0,2:1,1:0,:,:
246,247,2015-10-07,Ак Барс,Динамо М,1:0,1:0,1:2,:,:
247,248,2015-10-07,ХК Сочи,Спартак,1:0,1:2,0:4,:,:
248,249,2015-10-08,Авангард,Сибирь,1:1,0:1,1:0,0:0,1:0
249,250,2015-10-08,Автомобилист,Адмирал,0:0,1:2,0:1,:,:
250,251,2015-10-08,Барыс,Металлург Нк,2:0,1:2,1:0,:,:
251,252,2015-10-08,Югра,Амур,0:0,0:1,0:0,:,:
252,253,2015-10-08,Динамо Мн,Северсталь,0:1,1:1,0:1,:,:
253,254,2015-10-09,Металлург Мг,Слован,0:2,1:1,1:0,:,:
254,255,2015-10-09,Салават Юлаев,Медвешчак,0:3,2:1,0:1,:,:
255,256,2015-10-09,Трактор,Динамо Р,0:1,2:1,0:0,0:0,1:0
256,257,2015-10-09,Лада,Динамо М,0:2,0:1,0:2,:,:
257,258,2015-10-09,Нефтехимик,Йокерит,0:1,0:0,0:2,:,:
258,259,2015-10-09,Ак Барс,Витязь,0:2,2:2,0:0,:,:
259,260,2015-10-09,ЦСКА,Торпедо НН,0:2,0:0,1:2,:,:
260,261,2015-10-10,Авангард,Металлург Нк,0:3,1:1,0:0,:,:
261,262,2015-10-10,Автомобилист,Амур,0:0,2:0,0:0,:,:
262,263,2015-10-10,Барыс,Сибирь,3:2,0:2,0:2,:,:
263,264,2015-10-10,Югра,Адмирал,0:0,2:0,1:0,:,:
264,265,2015-10-10,СКА,Локомотив,0:2,0:1,0:0,:,:
265,266,2015-10-10,Спартак,ХК Сочи,2:0,0:2,2:1,:,:
266,267,2015-10-11,Лада,Слован,1:0,1:1,0:0,:,:
267,268,2015-10-11,Северсталь,Торпедо НН,0:1,1:0,0:0,0:1,:
268,269,2015-10-11,Ак Барс,Медвешчак,1:0,0:0,1:0,:,:
269,270,2015-10-11,ЦСКА,Динамо Мн,1:0,0:1,1:0,:,:
270,271,2015-10-12,Авангард,Амур,0:0,0:1,1:0,0:0,1:0
271,272,2015-10-12,Барыс,Адмирал,1:1,2:1,2:1,:,:
272,273,2015-10-12,Трактор,Нефтехимик,0:0,1:1,0:2,:,:
273,274,2015-10-12,Йокерит,Салават Юлаев,1:1,0:3,0:1,:,:
274,275,2015-10-12,СКА,ХК Сочи,1:1,0:0,0:1,:,:
275,276,2015-10-12,Спартак,Локомотив,0:1,0:1,0:0,:,:
276,277,2015-10-12,Динамо Р,Металлург Мг,0:0,0:1,1:1,:,:
277,278,2015-10-13,Лада,Медвешчак,1:1,0:0,4:1,:,:
278,279,2015-10-13,Ак Барс,Слован,0:0,0:1,0:0,:,:
279,280,2015-10-13,Витязь,Югра,0:0,1:0,0:0,:,:
280,281,2015-10-13,Динамо М,Автомобилист,1:0,0:1,1:1,1:0,:
281,282,2015-10-13,Торпедо НН,Динамо Мн,1:0,0:0,1:1,:,:
282,283,2015-10-14,Авангард,Адмирал,1:1,2:2,2:2,0:0,1:0
283,284,2015-10-14,Барыс,Амур,1:2,1:0,0:1,:,:
284,285,2015-10-14,Йокерит,Металлург Мг,0:0,3:0,1:2,:,:
285,286,2015-10-14,Локомотив,Трактор,0:0,2:0,1:0,:,:
286,287,2015-10-14,Спартак,СКА,0:0,1:1,0:2,:,:
287,288,2015-10-14,ХК Сочи,Нефтехимик,1:1,0:0,0:0,0:0,1:0
288,289,2015-10-14,Динамо Р,Салават Юлаев,2:1,1:1,0:3,:,:
289,290,2015-10-15,Металлург Нк,ЦСКА,0:0,0:1,0:0,:,:
290,291,2015-10-15,Сибирь,Северсталь,2:1,1:0,0:1,:,:
291,292,2015-10-15,Витязь,Автомобилист,0:0,0:1,1:0,0:0,0:1
292,293,2015-10-15,Динамо М,Югра,0:0,2:0,0:0,:,:
293,294,2015-10-16,Металлург Мг,Салават Юлаев,0:2,2:3,2:1,:,:
294,295,2015-10-16,Локомотив,Нефтехимик,1:0,3:1,0:1,:,:
295,296,2015-10-16,СКА,Ак Барс,1:1,0:1,0:1,:,:
296,297,2015-10-16,ХК Сочи,Трактор,0:0,2:2,0:0,0:0,0:1
297,298,2015-10-17,Амур,ЦСКА,1:0,1:1,1:1,:,:
298,299,2015-10-17,Адмирал,Северсталь,0:3,0:0,1:1,:,:
299,300,2015-10-17,Металлург Нк,Торпедо НН,2:1,1:1,0:1,0:1,:
300,301,2015-10-17,Сибирь,Динамо Мн,1:0,0:1,1:1,0:1,:
301,302,2015-10-17,Витязь,Барыс,0:0,3:3,0:0,0:0,1:0
302,303,2015-10-17,Динамо М,Авангард,0:0,1:1,0:0,1:0,:
303,304,2015-10-17,Слован,Югра,3:0,3:0,0:0,:,:
304,305,2015-10-17,Медвешчак,Автомобилист,0:0,1:1,1:1,0:1,:
305,306,2015-10-18,Металлург Мг,Трактор,0:0,1:2,2:1,1:0,:
306,307,2015-10-18,Локомотив,Йокерит,0:0,1:1,2:0,:,:
307,308,2015-10-18,СКА,Лада,1:0,0:1,1:0,:,:
308,309,2015-10-18,Спартак,Ак Барс,0:1,1:1,2:0,:,:
309,310,2015-10-19,Амур,Северсталь,1:0,1:1,0:2,:,:
310,311,2015-10-19,Адмирал,ЦСКА,0:0,0:0,0:2,:,:
311,312,2015-10-19,Металлург Нк,Динамо Мн,1:0,1:2,1:1,0:0,0:1
312,313,2015-10-19,Сибирь,Торпедо НН,1:0,2:0,1:1,:,:
313,314,2015-10-19,Витязь,Авангард,1:0,1:1,1:0,:,:
314,315,2015-10-19,Динамо М,Барыс,1:0,0:0,0:2,:,:
315,316,2015-10-19,Слован,Автомобилист,0:0,1:1,2:2,0:0,1:0
316,317,2015-10-19,Медвешчак,Югра,3:3,2:2,1:1,0:0,0:1
317,318,2015-10-20,Салават Юлаев,Ак Барс,1:1,1:0,0:0,:,:
318,319,2015-10-20,Нефтехимик,Лада,0:1,1:0,0:0,0:0,0:1
319,320,2015-10-20,Локомотив,Динамо Р,0:0,2:0,1:1,:,:
320,321,2015-10-20,ХК Сочи,Йокерит,1:0,2:0,0:0,:,:
321,322,2015-10-21,Амур,Динамо Мн,1:0,2:0,1:2,:,:
322,323,2015-10-21,Адмирал,Торпедо НН,0:2,2:4,1:2,:,:
323,324,2015-10-21,Металлург Нк,Северсталь,0:1,2:1,2:2,0:1,:
324,325,2015-10-21,Сибирь,ЦСКА,0:0,0:0,0:0,0:0,0:1
325,326,2015-10-21,Слован,Барыс,3:1,0:2,2:0,:,:
326,327,2015-10-21,Медвешчак,Авангард,0:1,0:0,0:0,:,:
327,328,2015-10-22,Автомобилист,СКА,2:2,1:0,1:0,:,:
328,329,2015-10-22,Металлург Мг,Йокерит,1:0,0:2,1:1,:,:
329,330,2015-10-22,Салават Юлаев,Динамо Р,0:0,1:0,2:1,:,:
330,331,2015-10-22,Югра,Спартак,0:2,1:1,1:2,:,:
331,332,2015-10-23,Амур,Торпедо НН,1:1,0:0,0:2,:,:
332,333,2015-10-23,Адмирал,Динамо Мн,0:1,2:1,3:0,:,:
333,334,2015-10-23,Лада,Нефтехимик,0:0,1:1,2:1,:,:
334,335,2015-10-23,Ак Барс,Трактор,2:0,2:0,1:1,:,:
335,336,2015-10-23,Витязь,ХК Сочи,1:0,1:1,1:0,:,:
336,337,2015-10-23,Динамо М,Локомотив,1:0,0:4,1:0,:,:
337,338,2015-10-23,Слован,Авангард,0:1,0:2,0:0,:,:
338,339,2015-10-23,Медвешчак,Барыс,1:0,1:0,1:0,:,:
339,340,2015-10-24,Металлург Мг,Динамо Р,0:1,1:1,0:1,:,:
340,341,2015-10-24,Салават Юлаев,Йокерит,2:0,0:0,2:0,:,:
341,342,2015-10-24,Югра,СКА,1:2,0:1,1:1,:,:
342,343,2015-10-24,Автомобилист,Спартак,0:0,0:1,2:1,0:1,:
343,344,2015-10-25,Лада,Трактор,2:0,0:2,2:0,:,:
344,345,2015-10-25,Ак Барс,Нефтехимик,0:0,1:1,0:0,0:0,1:0
345,346,2015-10-25,Витязь,Локомотив,0:1,1:0,1:2,:,:
