,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2015-08-24,СКА,ЦСКА,0:0,2:2,1:1,0:1,:
1,2,2015-08-25,Авангард,Салават Юлаев,0:1,3:0,1:1,:,:
2,3,2015-08-25,Барыс,Металлург Мг,1:0,0:0,0:2,:,:
3,4,2015-08-25,Йокерит,Северсталь,0:0,2:1,1:1,:,:
4,5,2015-08-25,Спартак,Динамо Мн,1:0,0:1,2:2,1:0,:
5,6,2015-08-25,Торпедо НН,Локомотив,1:0,0:1,1:1,0:0,1:0
6,7,2015-08-25,ХК Сочи,Лада,0:0,1:0,3:2,:,:
7,8,2015-08-25,Динамо Р,Ак Барс,0:0,1:1,2:0,:,:
8,9,2015-08-26,Трактор,Автомобилист,0:0,0:0,1:1,0:0,1:0
9,10,2015-08-26,Нефтехимик,Югра,1:0,0:0,1:1,:,:
10,11,2015-08-26,Витязь,Металлург Нк,0:1,1:0,0:0,0:0,1:0
11,12,2015-08-26,Динамо М,Сибирь,1:1,2:1,0:1,1:0,:
12,13,2015-08-26,Слован,Адмирал,0:1,1:1,0:1,:,:
13,14,2015-08-26,Медвешчак,Амур,0:0,2:2,0:0,0:0,0:1
14,15,2015-08-27,Авангард,Металлург Мг,0:2,2:0,1:1,0:0,0:1
15,16,2015-08-27,Барыс,Салават Юлаев,1:1,2:1,2:1,:,:
16,17,2015-08-27,Йокерит,Торпедо НН,1:0,1:1,3:0,:,:
17,18,2015-08-27,Локомотив,Лада,1:0,1:0,0:0,:,:
18,19,2015-08-27,СКА,Динамо Мн,1:0,0:1,1:0,:,:
19,20,2015-08-27,ХК Сочи,Ак Барс,0:0,0:1,0:0,:,:
20,21,2015-08-27,ЦСКА,Спартак,2:1,2:0,1:1,:,:
21,22,2015-08-27,Динамо Р,Северсталь,1:1,0:0,1:1,0:1,:
22,23,2015-08-28,Трактор,Югра,0:2,3:1,0:2,:,:
23,24,2015-08-28,Нефтехимик,Автомобилист,1:0,0:2,0:0,:,:
24,25,2015-08-28,Витязь,Сибирь,0:5,1:0,0:0,:,:
25,26,2015-08-28,Динамо М,Металлург Нк,1:1,1:1,2:1,:,:
26,27,2015-08-28,Слован,Амур,0:0,0:0,0:1,:,:
27,28,2015-08-28,Медвешчак,Адмирал,1:0,1:1,1:0,:,:
28,29,2015-08-29,Йокерит,ЦСКА,0:0,2:0,1:0,:,:
29,30,2015-08-29,Локомотив,Ак Барс,0:0,1:1,2:0,:,:
30,31,2015-08-29,СКА,Торпедо НН,1:2,0:0,0:1,:,:
31,32,2015-08-29,Спартак,Лада,0:1,1:1,0:1,:,:
32,33,2015-08-30,Металлург Мг,Автомобилист,0:2,1:0,0:0,:,:
33,34,2015-08-30,Салават Юлаев,Югра,3:0,1:2,0:0,:,:
34,35,2015-08-30,Трактор,Авангард,1:2,0:0,0:0,:,:
35,36,2015-08-30,Нефтехимик,Барыс,0:0,3:0,2:2,:,:
36,37,2015-08-30,Витязь,Адмирал,2:1,0:2,2:1,1:0,:
37,38,2015-08-30,Динамо Мн,Динамо Р,0:0,0:2,0:2,:,:
38,39,2015-08-30,Динамо М,Амур,3:0,4:1,0:1,:,:
39,40,2015-08-30,Слован,Металлург Нк,3:0,1:0,2:0,:,:
40,41,2015-08-30,Медвешчак,Сибирь,2:0,1:2,1:0,:,:
41,42,2015-08-31,Лада,Ак Барс,0:2,0:2,1:0,:,:
42,43,2015-08-31,Северсталь,СКА,0:1,0:0,0:2,:,:
43,44,2015-08-31,Спартак,Торпедо НН,1:0,1:4,0:1,:,:
44,45,2015-08-31,ХК Сочи,Локомотив,1:1,0:0,1:0,:,:
45,46,2015-09-01,Металлург Мг,Югра,1:0,2:1,3:1,:,:
46,47,2015-09-01,Салават Юлаев,Автомобилист,1:2,1:1,2:2,:,:
47,48,2015-09-01,Трактор,Барыс,1:0,1:0,0:1,:,:
48,49,2015-09-01,Нефтехимик,Авангард,0:0,0:3,1:1,:,:
49,50,2015-09-01,Витязь,Амур,0:0,2:1,0:0,:,:
