,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2014-09-03,Металлург Мг,Динамо М,3:1,2:0,1:0,:,:
1,2,2014-09-04,Амур,Адмирал,1:2,2:1,2:1,:,:
2,3,2014-09-04,Авангард,Металлург Нк,0:0,0:1,0:0,:,:
3,4,2014-09-04,Барыс,Салават Юлаев,3:0,0:4,2:0,:,:
4,5,2014-09-04,Ак Барс,Автомобилист,0:0,3:1,0:1,:,:
5,6,2014-09-04,Лада,Югра,1:1,0:1,1:3,:,:
6,7,2014-09-04,Нефтехимик,Трактор,2:0,1:0,1:1,:,:
7,8,2014-09-04,Северсталь,Торпедо НН,0:0,0:0,0:2,:,:
8,9,2014-09-04,СКА,Локомотив,2:2,2:1,1:0,:,:
9,10,2014-09-04,Йокерит,Динамо Мн,1:1,1:1,2:2,0:1,:
10,11,2014-09-04,Слован,Медвешчак,2:0,1:1,2:1,:,:
11,12,2014-09-05,Динамо М,ЦСКА,1:2,0:1,0:1,:,:
12,13,2014-09-06,Авангард,Адмирал,1:0,2:1,1:1,:,:
13,14,2014-09-06,Сибирь,Металлург Нк,3:0,2:1,1:0,:,:
14,15,2014-09-06,Автомобилист,Медвешчак,0:1,2:1,1:0,:,:
15,16,2014-09-06,Барыс,Амур,1:0,1:2,0:0,0:0,1:0
16,17,2014-09-06,Металлург Мг,Слован,1:2,1:0,0:1,:,:
17,18,2014-09-06,Салават Юлаев,Витязь,2:1,0:0,4:0,:,:
18,19,2014-09-06,Ак Барс,Атлант,0:1,0:1,1:2,:,:
19,20,2014-09-06,Северсталь,Трактор,2:2,0:0,0:1,:,:
20,21,2014-09-06,Торпедо НН,Югра,1:0,0:1,0:2,:,:
21,22,2014-09-06,СКА,ХК Сочи,0:1,2:0,1:1,:,:
22,23,2014-09-06,Динамо Р,Динамо Мн,0:1,1:0,3:1,:,:
23,24,2014-09-06,Йокерит,Локомотив,1:1,2:0,0:1,:,:
24,25,2014-09-08,Авангард,Витязь,2:4,2:1,4:0,:,:
25,26,2014-09-08,Автомобилист,Слован,0:0,1:1,0:2,:,:
26,27,2014-09-08,Барыс,Адмирал,3:0,0:0,1:0,:,:
27,28,2014-09-08,Металлург Мг,Атлант,1:0,0:1,3:0,:,:
28,29,2014-09-08,Салават Юлаев,Амур,0:2,0:1,3:2,:,:
