,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
62,63,2016-09-04,Металлург Мг,Амур,1:0,2:1,1:0,:,:
63,64,2016-09-04,Слован,Спартак,0:0,1:2,0:0,:,:
64,65,2016-09-04,Динамо М,Авангард,0:1,2:0,0:1,0:0,0:1
65,66,2016-09-04,ЦСКА,Лада,3:0,1:1,2:0,:,:
66,67,2016-09-04,Витязь,Металлург Нк,2:0,0:1,0:0,:,:
67,68,2016-09-04,СКА,Нефтехимик,0:0,3:0,2:1,:,:
68,69,2016-09-04,Торпедо НН,ХК Сочи,1:0,1:1,1:0,:,:
69,70,2016-09-05,Куньлунь РС,Адмирал,3:1,2:2,1:0,:,:
70,71,2016-09-05,Автомобилист,Югра,0:1,2:0,0:2,:,:
71,72,2016-09-05,Локомотив,Сибирь,2:1,0:0,1:0,:,:
72,73,2016-09-06,Трактор,Йокерит,0:1,1:0,0:1,:,:
73,74,2016-09-06,Салават Юлаев,Динамо Р,0:0,0:2,2:0,0:0,0:1
74,75,2016-09-06,Лада,Динамо М,1:0,0:1,0:0,0:0,1:0
75,76,2016-09-06,Нефтехимик,Медвешчак,0:1,1:1,1:0,0:0,1:0
76,77,2016-09-06,ХК Сочи,Амур,1:0,4:1,2:1,:,:
77,78,2016-09-06,Спартак,Динамо Мн,1:1,0:0,3:1,:,:
78,79,2016-09-06,Витязь,Северсталь,1:1,0:0,0:0,0:0,1:0
79,80,2016-09-06,Ак Барс,ЦСКА,0:0,1:2,0:1,:,:
80,81,2016-09-08,Металлург Мг,Динамо Р,1:0,0:1,1:0,:,:
81,82,2016-09-08,Салават Юлаев,Йокерит,0:0,1:1,1:2,:,:
82,83,2016-09-08,Лада,Локомотив,1:1,0:1,1:0,0:0,0:1
83,84,2016-09-08,Нефтехимик,Витязь,0:0,1:1,0:0,0:0,1:0
84,85,2016-09-08,Спартак,Адмирал,0:0,1:2,0:0,:,:
85,86,2016-09-08,Торпедо НН,Амур,0:0,0:0,0:0,0:1,:
86,87,2016-09-08,Ак Барс,Динамо М,1:0,0:1,3:0,:,:
87,88,2016-09-09,Сибирь,Медвешчак,0:0,2:0,1:0,:,:
88,89,2016-09-09,Металлург Нк,Слован,1:0,1:0,0:1,:,:
89,90,2016-09-09,Барыс,Югра,1:1,2:1,0:0,:,:
90,91,2016-09-09,ЦСКА,СКА,1:0,1:1,0:0,:,:
91,92,2016-09-10,Металлург Мг,Йокерит,0:0,1:0,2:1,:,:
92,93,2016-09-10,Салават Юлаев,Динамо Мн,0:0,0:1,1:1,:,:
93,94,2016-09-10,Нефтехимик,Динамо М,1:2,0:1,0:0,:,:
94,95,2016-09-10,Спартак,Амур,1:0,0:0,0:0,:,:
95,96,2016-09-10,Торпедо НН,Куньлунь РС,1:0,2:0,0:1,:,:
96,97,2016-09-10,Ак Барс,Витязь,0:0,2:1,0:1,0:0,1:0
97,98,2016-09-10,ХК Сочи,Адмирал,2:1,3:2,1:2,:,:
98,99,2016-09-11,Сибирь,Югра,2:0,2:1,3:0,:,:
99,100,2016-09-11,Металлург Нк,Медвешчак,1:2,1:0,1:3,:,:
100,101,2016-09-11,Трактор,Динамо Р,0:0,1:0,2:0,:,:
101,102,2016-09-11,Авангард,Слован,0:2,1:1,2:1,:,:
102,103,2016-09-11,Барыс,Автомобилист,2:1,0:3,1:0,:,:
103,104,2016-09-11,ЦСКА,Северсталь,2:2,3:0,0:0,:,:
104,105,2016-09-12,Трактор,Динамо Мн,0:0,1:1,1:2,:,:
105,106,2016-09-12,Лада,Витязь,1:0,2:0,0:0,:,:
106,107,2016-09-12,Нефтехимик,Амур,1:0,0:0,0:1,0:0,1:0
107,108,2016-09-12,ХК Сочи,Куньлунь РС,1:1,2:0,0:0,:,:
108,109,2016-09-12,Торпедо НН,Адмирал,2:1,0:1,0:0,0:0,0:1
109,110,2016-09-12,Ак Барс,Локомотив,0:1,0:0,0:1,:,:
110,111,2016-09-13,Сибирь,Слован,2:1,0:1,0:0,0:0,1:0
111,112,2016-09-13,Авангард,Медвешчак,1:1,1:0,2:0,:,:
112,113,2016-09-13,Металлург Мг,Динамо Мн,0:1,1:2,4:1,:,:
113,114,2016-09-13,СКА,Северсталь,2:0,1:0,1:0,:,:
114,115,2016-09-13,Динамо Р,Йокерит,0:0,1:0,0:3,:,:
115,116,2016-09-14,Салават Юлаев,Адмирал,1:0,3:0,0:2,:,:
116,117,2016-09-14,Автомобилист,Барыс,1:0,1:0,0:2,0:0,1:0
117,118,2016-09-14,Югра,Металлург Нк,0:0,1:0,0:0,:,:
118,119,2016-09-14,Нефтехимик,Локомотив,0:1,0:0,2:0,:,:
119,120,2016-09-15,Амур,Куньлунь РС,0:1,2:0,1:0,:,:
120,121,2016-09-15,Трактор,Металлург Мг,1:2,3:1,1:0,:,:
121,122,2016-09-15,Ак Барс,Авангард,0:0,0:0,1:0,:,:
122,123,2016-09-15,Динамо Мн,Динамо Р,0:0,1:0,0:1,1:0,:
123,124,2016-09-15,Динамо М,ХК Сочи,0:0,1:0,0:2,:,:
124,125,2016-09-15,Витязь,Спартак,1:1,3:1,1:0,:,:
125,126,2016-09-16,Автомобилист,ЦСКА,0:2,2:1,0:1,:,:
126,127,2016-09-16,Барыс,СКА,3:2,0:0,0:3,:,:
127,128,2016-09-16,Югра,Северсталь,0:0,0:1,1:0,0:0,1:0
128,129,2016-09-16,Локомотив,Торпедо НН,0:0,1:0,0:1,0:1,:
129,130,2016-09-17,Трактор,Салават Юлаев,1:1,3:0,0:1,:,:
130,131,2016-09-17,Витязь,ХК Сочи,4:0,0:2,0:1,:,:
131,132,2016-09-17,Динамо Мн,Металлург Нк,1:1,0:0,3:1,:,:
132,133,2016-09-17,Слован,Медвешчак,2:0,0:1,0:1,0:0,1:0
133,134,2016-09-17,Йокерит,Авангард,1:1,1:1,1:1,0:0,0:1
134,135,2016-09-17,Спартак,Динамо М,2:1,0:0,0:1,0:0,0:1
135,136,2016-09-17,Динамо Р,Сибирь,3:2,0:1,0:1,:,:
136,137,2016-09-18,Амур,Ак Барс,0:1,2:1,1:0,:,:
137,139,2016-09-18,Куньлунь РС,Лада,0:1,2:0,2:1,:,:
138,140,2016-09-18,Барыс,Северсталь,1:0,1:0,0:1,:,:
139,141,2016-09-18,Югра,ЦСКА,0:1,0:1,0:0,:,:
140,142,2016-09-18,Локомотив,Торпедо НН,0:0,0:2,0:1,:,:
141,143,2016-09-19,Автомобилист,СКА,0:1,2:0,0:1,0:0,1:0
142,144,2016-09-19,Динамо Мн,Авангард,0:1,1:0,0:1,:,:
143,145,2016-09-19,Йокерит,Сибирь,0:1,0:1,0:2,:,:
144,146,2016-09-19,Динамо Р,Металлург Нк,1:0,3:1,1:0,:,:
145,147,2016-09-20,Амур,Лада,0:0,0:0,1:0,:,:
146,148,2016-09-20,Адмирал,Ак Барс,2:1,1:1,0:1,0:0,0:1
147,149,2016-09-20,Куньлунь РС,Нефтехимик,1:0,0:1,1:0,:,:
148,150,2016-09-20,Металлург Мг,Слован,1:2,1:0,2:0,:,:
149,151,2016-09-20,Салават Юлаев,ХК Сочи,1:0,0:3,0:0,:,:
150,152,2016-09-20,Барыс,ЦСКА,1:0,1:0,2:0,:,:
151,153,2016-09-20,Локомотив,Спартак,0:0,4:2,2:1,:,:
152,154,2016-09-20,Витязь,Торпедо НН,2:0,1:0,0:0,:,:
153,155,2016-09-21,Трактор,Медвешчак,0:0,1:0,2:0,:,:
154,156,2016-09-21,Автомобилист,Северсталь,2:1,0:3,0:0,:,:
155,157,2016-09-21,Югра,СКА,1:0,1:2,0:2,:,:
156,158,2016-09-21,Динамо Мн,Сибирь,1:3,3:1,0:0,1:0,:
157,159,2016-09-21,Йокерит,Металлург Нк,4:0,1:0,0:1,:,:
158,160,2016-09-21,Динамо Р,Авангард,0:0,1:2,0:0,:,:
159,161,2016-09-22,Амур,Нефтехимик,1:0,2:0,1:1,:,:
160,162,2016-09-22,Адмирал,Лада,5:0,0:2,0:0,:,:
161,163,2016-09-22,Куньлунь РС,Ак Барс,1:2,1:0,0:1,:,:
162,164,2016-09-22,Салават Юлаев,Слован,1:1,3:1,2:1,:,:
163,165,2016-09-22,Динамо М,Торпедо НН,0:1,0:0,0:0,:,:
164,166,2016-09-23,Металлург Мг,Медвешчак,1:1,4:0,1:0,:,:
165,167,2016-09-23,Витязь,Сибирь,1:1,0:1,1:0,1:0,:
166,168,2016-09-23,СКА,Югра,4:1,3:0,2:3,:,:
167,169,2016-09-23,Йокерит,ЦСКА,1:1,1:1,0:0,0:0,1:0
168,170,2016-09-23,ХК Сочи,Локомотив,2:0,0:2,0:1,:,:
169,171,2016-09-24,Трактор,Слован,0:1,1:2,0:0,:,:
170,172,2016-09-24,Авангард,Металлург Нк,2:0,2:2,0:0,:,:
171,173,2016-09-24,Динамо М,Динамо Мн,0:1,0:0,0:2,:,:
172,174,2016-09-25,Салават Юлаев,Медвешчак,2:1,1:2,1:1,0:0,0:1
173,175,2016-09-25,Лада,Динамо Р,2:0,1:0,1:0,:,:
174,176,2016-09-25,Северсталь,Куньлунь РС,1:0,1:0,0:0,:,:
175,177,2016-09-25,Нефтехимик,Йокерит,0:0,1:0,1:2,0:0,1:0
176,178,2016-09-25,ЦСКА,Адмирал,0:0,1:0,2:0,:,:
177,179,2016-09-25,Спартак,Барыс,1:3,1:0,3:1,:,:
178,180,2016-09-25,СКА,Амур,1:0,2:0,1:1,:,:
179,181,2016-09-25,Торпедо НН,Югра,1:0,2:1,0:0,:,:
180,182,2016-09-25,ХК Сочи,Автомобилист,0:0,0:0,0:0,0:0,1:0
181,183,2016-09-26,Авангард,Металлург Мг,1:1,0:1,0:1,:,:
182,184,2016-09-26,Динамо М,Локомотив,1:0,0:3,2:0,1:0,:
183,185,2016-09-26,Ак Барс,Динамо Мн,2:1,1:0,0:4,:,:
184,186,2016-09-27,Сибирь,Трактор,1:0,0:0,0:1,0:0,1:0
185,187,2016-09-27,Металлург Нк,Салават Юлаев,0:0,0:1,0:2,:,:
186,188,2016-09-27,Авангард,Металлург Мг,0:2,0:0,0:1,:,:
187,189,2016-09-27,Северсталь,Амур,1:1,0:0,1:0,:,:
188,190,2016-09-27,ЦСКА,Куньлунь РС,1:0,0:0,2:0,:,:
189,191,2016-09-27,Спартак,Югра,1:1,1:1,0:1,:,:
190,192,2016-09-27,СКА,Адмирал,0:0,2:0,0:2,0:0,1:0
191,193,2016-09-27,Торпедо НН,Автомобилист,1:1,0:0,1:0,:,:
192,194,2016-09-27,ХК Сочи,Барыс,2:2,0:2,1:2,:,:
193,195,2016-09-28,Лада,Динамо Мн,1:0,0:1,1:2,:,:
194,196,2016-09-28,Нефтехимик,Динамо Р,2:0,1:1,0:0,:,:
195,197,2016-09-28,Ак Барс,Йокерит,1:0,1:1,2:1,:,:
196,198,2016-09-28,Динамо М,Витязь,1:0,1:0,1:0,:,:
197,199,2016-09-29,Сибирь,Металлург Мг,0:2,0:0,0:1,:,:
198,200,2016-09-29,Металлург Нк,Трактор,0:1,0:0,1:1,:,:
199,201,2016-09-29,Авангард,Салават Юлаев,1:2,1:2,0:1,:,:
200,202,2016-09-29,Северсталь,Адмирал,1:0,1:1,0:0,:,:
201,203,2016-09-29,ХК Сочи,Югра,0:1,0:0,2:0,:,:
202,204,2016-09-29,ЦСКА,Амур,0:0,1:1,0:0,0:0,0:1
203,205,2016-09-29,Спартак,Автомобилист,1:0,1:0,1:0,:,:
204,206,2016-09-29,СКА,Куньлунь РС,1:0,1:0,1:0,:,:
205,207,2016-09-29,Торпедо НН,Барыс,1:0,0:0,1:2,1:0,:
206,208,2016-09-30,Лада,Йокерит,0:1,2:0,3:1,:,:
207,209,2016-09-30,Нефтехимик,Динамо Мн,1:2,1:2,0:0,:,:
208,210,2016-09-30,Локомотив,Витязь,1:0,1:1,1:0,:,:
209,211,2016-09-30,Ак Барс,Динамо Р,0:1,2:0,0:0,:,:
210,212,2016-09-30,Медвешчак,Слован,2:0,4:0,0:0,:,:
211,213,2016-10-01,Сибирь,Салават Юлаев,0:0,1:1,0:1,:,:
212,214,2016-10-01,Металлург Нк,Металлург Мг,1:0,3:2,0:2,0:0,1:0
213,215,2016-10-01,Авангард,Трактор,1:0,1:0,1:1,:,:
214,216,2016-10-01,Северсталь,Динамо М,0:0,1:0,1:1,:,:
215,217,2016-10-01,Спартак,Куньлунь РС,0:0,0:1,0:0,:,:
216,218,2016-10-02,Слован,ЦСКА,0:1,1:0,0:0,0:1,:
217,219,2016-10-02,Йокерит,Локомотив,0:1,3:1,1:1,:,:
218,220,2016-10-02,Медвешчак,СКА,2:1,1:1,1:2,1:0,:
219,221,2016-10-03,Автомобилист,Ак Барс,0:1,1:1,0:2,:,:
220,222,2016-10-03,Барыс,Нефтехимик,1:1,2:3,2:0,:,:
221,223,2016-10-03,Югра,Лада,0:1,2:0,2:0,:,:
222,224,2016-10-03,Динамо Р,Динамо М,0:3,1:1,1:0,:,:
223,225,2016-10-04,Амур,Спартак,0:0,2:1,1:0,:,:
224,226,2016-10-04,Адмирал,Торпедо НН,1:0,3:2,1:0,:,:
225,227,2016-10-04,Куньлунь РС,ХК Сочи,0:1,0:0,2:0,:,:
226,228,2016-10-04,Металлург Нк,Сибирь,0:0,1:0,2:2,:,:
227,229,2016-10-04,Металлург Мг,Салават Юлаев,1:0,1:2,0:0,0:0,1:0
228,230,2016-10-04,Динамо Мн,Локомотив,1:0,0:0,1:0,:,:
229,231,2016-10-04,Слован,СКА,0:1,0:2,0:3,:,:
230,232,2016-10-04,Йокерит,Витязь,1:1,1:2,1:0,0:0,0:1
231,233,2016-10-04,Медвешчак,ЦСКА,0:0,1:3,1:2,:,:
232,234,2016-10-05,Автомобилист,Лада,1:1,2:1,0:2,:,:
233,235,2016-10-05,Барыс,Ак Барс,0:1,0:1,0:2,:,:
234,236,2016-10-05,Югра,Нефтехимик,0:1,0:1,0:0,:,:
235,237,2016-10-05,Йокерит,Динамо М,0:0,0:2,1:0,:,:
236,238,2016-10-06,Амур,Торпедо НН,0:0,0:1,0:0,:,:
237,239,2016-10-06,Адмирал,ХК Сочи,1:0,0:0,0:0,:,:
238,240,2016-10-06,Куньлунь РС,Спартак,1:0,0:2,3:0,:,:
239,241,2016-10-06,Авангард,Сибирь,1:1,0:0,0:0,0:0,1:0
240,242,2016-10-06,Металлург Мг,Трактор,0:2,2:0,2:1,:,:
241,243,2016-10-06,СКА,ЦСКА,1:0,0:0,1:0,:,:
242,244,2016-10-06,Динамо Мн,Витязь,0:1,1:1,1:0,0:1,:
243,245,2016-10-06,Слован,Северсталь,1:0,0:2,2:0,:,:
244,246,2016-10-06,Динамо Р,Локомотив,2:2,0:0,0:0,0:0,1:0
245,247,2016-10-07,Автомобилист,Нефтехимик,2:1,1:0,0:1,:,:
246,248,2016-10-07,Барыс,Лада,0:1,1:3,1:0,:,:
247,249,2016-10-07,Югра,Ак Барс,2:1,0:2,1:3,:,:
248,250,2016-10-08,Амур,ХК Сочи,1:1,0:0,2:1,:,:
249,251,2016-10-08,Адмирал,Спартак,2:0,2:1,2:2,:,:
250,252,2016-10-08,Куньлунь РС,Торпедо НН,0:2,2:1,0:1,:,:
251,253,2016-10-08,Сибирь,Металлург Нк,1:1,0:1,1:0,1:0,:
252,254,2016-10-08,Салават Юлаев,Трактор,1:0,1:1,0:0,:,:
253,255,2016-10-08,СКА,Йокерит,2:0,2:0,2:0,:,:
254,256,2016-10-08,Динамо Мн,Динамо М,2:0,0:0,0:0,:,:
255,258,2016-10-08,Медвешчак,Северсталь,2:1,4:1,1:1,:,:
256,257,2016-10-09,Динамо Р,Витязь,2:0,2:0,0:0,:,:
257,259,2016-10-09,ЦСКА,Авангард,0:0,0:0,1:1,0:1,:
258,260,2016-10-10,Металлург Мг,Автомобилист,2:0,2:0,2:0,:,:
259,261,2016-10-10,Локомотив,Слован,0:2,0:0,2:0,0:1,:
260,262,2016-10-10,СКА,Динамо Мн,4:0,1:1,1:1,:,:
261,263,2016-10-10,Динамо М,Медвешчак,2:0,2:1,1:0,:,:
262,264,2016-10-11,Трактор,Барыс,1:1,0:2,2:1,:,:
263,265,2016-10-11,Салават Юлаев,Югра,0:1,0:2,2:0,:,:
264,266,2016-10-11,Лада,Куньлунь РС,1:1,1:1,0:1,:,:
265,267,2016-10-11,Северсталь,Динамо Р,3:1,0:2,1:0,:,:
266,268,2016-10-11,Нефтехимик,Адмирал,0:1,1:2,0:0,:,:
267,269,2016-10-11,ХК Сочи,Металлург Нк,1:1,0:1,2:0,:,:
268,270,2016-10-11,ЦСКА,Йокерит,1:0,1:3,1:3,:,:
269,271,2016-10-11,Спартак,Авангард,0:0,0:2,2:1,:,:
270,272,2016-10-11,Торпедо НН,Сибирь,0:0,1:1,0:2,:,:
271,273,2016-10-11,Ак Барс,Амур,1:0,1:0,0:1,:,:
272,274,2016-10-12,Витязь,Медвешчак,0:1,2:1,1:0,:,:
273,275,2016-10-12,Динамо М,Слован,1:2,2:2,0:1,:,:
274,276,2016-10-13,Металлург Мг,Барыс,0:1,0:0,3:0,:,:
275,277,2016-10-13,Салават Юлаев,Автомобилист,3:0,1:1,1:0,:,:
276,278,2016-10-13,Трактор,Югра,0:2,0:0,0:0,:,:
277,279,2016-10-13,Лада,Амур,3:0,1:1,1:0,:,:
278,280,2016-10-13,Северсталь,Йокерит,1:1,2:0,0:2,1:0,:
279,281,2016-10-13,Нефтехимик,Куньлунь РС,1:0,3:0,0:3,:,:
280,282,2016-10-13,Ак Барс,Адмирал,1:0,0:0,2:0,:,:
281,283,2016-10-13,ЦСКА,Динамо Мн,2:1,3:0,2:1,:,:
282,284,2016-10-13,ХК Сочи,Сибирь,2:0,2:1,2:1,:,:
283,285,2016-10-13,Спартак,Металлург Нк,1:0,0:2,1:1,:,:
284,286,2016-10-13,СКА,Динамо Р,0:0,1:0,3:1,:,:
285,287,2016-10-13,Торпедо НН,Авангард,0:1,2:1,1:0,:,:
286,288,2016-10-14,Локомотив,Медвешчак,2:0,0:1,0:0,:,:
287,289,2016-10-14,Витязь,Слован,2:0,0:0,1:2,:,:
288,290,2016-10-15,Трактор,Автомобилист,1:1,1:0,1:1,:,:
289,291,2016-10-15,Металлург Мг,Югра,0:0,1:1,1:1,0:1,:
290,292,2016-10-15,Салават Юлаев,Барыс,0:1,2:0,3:1,:,:
291,293,2016-10-15,Лада,Адмирал,1:1,1:0,0:2,:,:
292,294,2016-10-15,Северсталь,Динамо Мн,2:0,0:2,1:1,0:0,0:1
293,295,2016-10-15,Спартак,Сибирь,0:0,0:1,1:0,0:0,1:0
294,296,2016-10-15,Торпедо НН,Металлург Нк,2:1,4:0,0:0,:,:
295,297,2016-10-15,Ак Барс,Куньлунь РС,0:0,0:0,2:0,:,:
296,298,2016-10-15,ХК Сочи,Авангард,0:0,1:0,1:1,:,:
297,299,2016-10-15,ЦСКА,Динамо Р,1:1,1:1,1:0,:,:
298,300,2016-10-16,СКА,Витязь,3:0,1:1,1:0,:,:
299,301,2016-10-17,Амур,Салават Юлаев,2:1,1:2,1:1,0:0,0:1
300,302,2016-10-17,Авангард,ЦСКА,1:1,1:1,0:1,:,:
301,303,2016-10-17,Слован,Нефтехимик,0:2,1:2,1:1,:,:
302,304,2016-10-17,Йокерит,Торпедо НН,1:1,2:0,1:0,:,:
303,305,2016-10-17,ХК Сочи,Динамо Мн,1:0,0:1,0:0,1:0,:
304,306,2016-10-17,Динамо Р,Спартак,0:0,1:1,0:0,0:0,0:1
305,307,2016-10-17,Медвешчак,Ак Барс,1:1,0:0,1:0,:,:
306,308,2016-10-18,Сибирь,СКА,0:0,1:1,0:0,0:1,:
307,309,2016-10-18,Металлург Нк,Северсталь,1:1,0:1,0:0,:,:
308,310,2016-10-18,Автомобилист,Локомотив,1:2,1:1,1:3,:,:
309,311,2016-10-18,Барыс,Динамо М,1:0,0:0,0:0,:,:
310,312,2016-10-18,Югра,Витязь,0:0,1:1,0:1,:,:
311,313,2016-10-19,Амур,Трактор,2:2,1:0,1:0,:,:
312,314,2016-10-19,Адмирал,Металлург Мг,2:0,1:0,0:0,:,:
313,315,2016-10-19,Куньлунь РС,Салават Юлаев,1:0,2:2,0:0,:,:
314,316,2016-10-19,Динамо Мн,Спартак,0:1,0:1,1:3,:,:
315,317,2016-10-19,Слован,Ак Барс,0:0,1:0,0:1,1:0,:
316,318,2016-10-19,Йокерит,ХК Сочи,1:0,1:1,0:1,0:1,:
317,319,2016-10-19,Динамо Р,Торпедо НН,0:0,1:0,0:1,0:0,0:1
318,320,2016-10-19,Медвешчак,Нефтехимик,3:0,0:0,1:1,:,:
319,321,2016-10-20,Сибирь,ЦСКА,0:0,2:1,0:1,0:0,1:0
320,322,2016-10-20,Металлург Нк,СКА,0:0,0:5,0:1,:,:
321,323,2016-10-20,Авангард,Северсталь,2:0,1:1,2:1,:,:
322,324,2016-10-20,Автомобилист,Динамо М,1:1,1:0,0:1,0:0,1:0
323,325,2016-10-20,Барыс,Витязь,2:0,3:0,0:0,:,:
324,326,2016-10-20,Югра,Локомотив,0:1,0:0,0:0,:,:
325,327,2016-10-21,Амур,Металлург Мг,1:1,0:3,0:1,:,:
326,328,2016-10-21,Адмирал,Салават Юлаев,0:1,1:1,1:0,0:0,0:1
327,329,2016-10-21,Куньлунь РС,Трактор,1:1,0:1,1:1,:,:
328,330,2016-10-21,Динамо Мн,Торпедо НН,0:0,1:0,1:2,0:0,1:0
329,331,2016-10-21,Слован,Лада,0:2,2:0,1:0,:,:
330,332,2016-10-21,Йокерит,Спартак,1:0,1:0,1:2,:,:
331,333,2016-10-21,Динамо Р,ХК Сочи,1:1,1:0,0:1,0:0,0:1
332,334,2016-10-22,Сибирь,Северсталь,1:1,1:1,0:2,:,:
333,335,2016-10-22,Металлург Нк,ЦСКА,1:0,1:3,0:1,:,:
334,336,2016-10-22,Авангард,СКА,0:1,0:1,2:0,0:0,0:1
335,337,2016-10-22,Автомобилист,Витязь,1:0,0:0,1:1,:,:
336,338,2016-10-22,Барыс,Локомотив,1:2,0:2,0:4,:,:
337,339,2016-10-22,Югра,Динамо М,0:1,0:0,0:0,:,:
338,340,2016-10-22,Ак Барс,Нефтехимик,1:0,1:1,1:0,:,:
339,341,2016-10-23,Адмирал,Трактор,0:1,0:0,0:0,:,:
340,342,2016-10-23,Куньлунь РС,Металлург Мг,1:2,0:2,0:1,:,:
341,343,2016-10-23,Динамо Мн,ХК Сочи,2:0,2:0,1:2,:,:
342,344,2016-10-23,Медвешчак,Лада,0:0,2:0,1:2,:,:
343,345,2016-10-24,Куньлунь РС,Локомотив,0:1,1:0,2:0,:,:
344,347,2016-10-24,Спартак,Торпедо НН,1:0,1:0,1:0,:,:
