,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2016-08-22,Металлург Мг,ЦСКА,2:1,1:1,0:0,:,:
1,2,2016-08-23,Сибирь,Автомобилист,1:2,0:2,2:1,:,:
2,3,2016-08-23,Металлург Нк,Барыс,2:0,0:2,2:0,:,:
3,4,2016-08-23,Трактор,СКА,1:0,0:1,0:0,1:0,:
4,5,2016-08-23,Авангард,Югра,0:0,1:0,0:0,:,:
5,6,2016-08-23,Салават Юлаев,Северсталь,1:0,1:1,1:1,:,:
6,7,2016-08-23,Лада,Медвешчак,1:1,1:0,0:2,:,:
7,8,2016-08-23,Ак Барс,Слован,0:0,2:1,0:0,:,:
8,9,2016-08-23,ХК Сочи,Динамо Р,3:0,0:1,0:0,:,:
9,10,2016-08-23,Спартак,Йокерит,0:0,1:0,0:2,:,:
10,11,2016-08-24,Амур,Локомотив,0:0,0:1,0:0,:,:
11,12,2016-08-24,Адмирал,Динамо М,0:1,2:1,1:1,0:0,0:1
12,13,2016-08-25,Сибирь,Барыс,1:0,1:1,3:0,:,:
13,14,2016-08-25,Металлург Нк,Югра,0:0,0:5,1:2,:,:
14,15,2016-08-25,Авангард,Автомобилист,1:0,1:0,1:1,:,:
15,16,2016-08-25,Лада,Слован,2:0,0:0,3:2,:,:
16,17,2016-08-25,Северсталь,Металлург Мг,1:1,1:0,0:1,0:0,1:0
17,18,2016-08-25,СКА,Салават Юлаев,2:0,3:0,2:1,:,:
18,19,2016-08-25,Торпедо НН,Динамо Р,0:0,1:0,1:0,:,:
19,20,2016-08-25,Ак Барс,Нефтехимик,0:0,0:0,1:1,0:0,0:1
20,21,2016-08-25,ХК Сочи,Йокерит,2:1,0:1,1:0,:,:
21,22,2016-08-25,ЦСКА,Трактор,0:0,2:0,1:0,:,:
22,23,2016-08-26,Амур,Динамо М,0:1,0:1,2:1,:,:
23,24,2016-08-26,Адмирал,Локомотив,0:2,3:1,0:0,0:0,0:1
24,25,2016-08-26,Ак Барс,Медвешчак,0:1,0:2,1:0,:,:
25,26,2016-08-27,Адмирал,Витязь,3:1,1:0,1:3,:,:
26,27,2016-08-27,Сибирь,Югра,1:0,1:0,0:0,:,:
27,28,2016-08-27,Металлург Нк,Автомобилист,0:2,1:3,1:0,:,:
28,29,2016-08-27,Авангард,Барыс,0:0,2:0,1:1,:,:
29,30,2016-08-27,Северсталь,Трактор,1:1,0:1,1:5,:,:
30,31,2016-08-27,ЦСКА,Салават Юлаев,1:1,2:0,0:0,:,:
31,32,2016-08-27,Спартак,Динамо Р,0:2,2:1,2:0,:,:
32,33,2016-08-27,СКА,Металлург Мг,0:1,1:1,3:0,:,:
33,34,2016-08-27,Торпедо НН,Йокерит,0:0,2:1,1:0,:,:
34,35,2016-08-28,Лада,Нефтехимик,0:1,2:0,1:0,:,:
35,36,2016-08-29,Амур,Витязь,1:1,0:1,0:1,:,:
36,37,2016-08-29,Автомобилист,Металлург Мг,0:0,0:0,2:0,:,:
37,38,2016-08-29,Локомотив,Динамо М,1:1,0:2,1:0,:,:
38,39,2016-08-29,Слован,Торпедо НН,0:1,1:2,6:1,:,:
39,40,2016-08-29,Медвешчак,ХК Сочи,0:1,2:0,0:1,1:0,:
40,41,2016-08-30,Югра,Салават Юлаев,0:0,2:1,0:2,:,:
41,42,2016-08-30,Северсталь,Лада,0:2,3:1,0:0,0:0,0:1
42,43,2016-08-30,ЦСКА,Нефтехимик,0:0,3:0,1:1,:,:
43,44,2016-08-30,СКА,Ак Барс,1:4,2:1,2:0,0:0,0:1
44,45,2016-08-31,Амур,Адмирал,1:1,2:0,0:0,:,:
45,46,2016-08-31,Автомобилист,Трактор,0:1,1:0,0:0,0:1,:
46,47,2016-08-31,Слован,ХК Сочи,2:0,0:0,1:1,:,:
47,48,2016-08-31,Динамо М,Металлург Нк,1:0,3:0,1:0,:,:
48,49,2016-08-31,Локомотив,Авангард,0:0,1:1,1:1,1:0,:
49,50,2016-08-31,Медвешчак,Торпедо НН,0:2,1:2,0:2,:,:
50,51,2016-09-01,Амур,Куньлунь РС,0:1,0:0,1:1,:,:
51,52,2016-09-01,Югра,Металлург Мг,0:1,1:0,1:0,:,:
52,53,2016-09-01,Северсталь,Нефтехимик,0:0,0:0,0:2,:,:
53,54,2016-09-01,ЦСКА,Ак Барс,1:1,0:1,3:0,:,:
54,55,2016-09-02,Автомобилист,Салават Юлаев,2:1,1:2,0:0,0:0,1:0
55,56,2016-09-02,СКА,Лада,2:1,1:0,2:0,:,:
56,57,2016-09-02,Динамо М,Сибирь,3:0,1:1,0:0,:,:
57,58,2016-09-02,Локомотив,Металлург Нк,1:0,0:0,0:0,:,:
58,59,2016-09-02,Витязь,Авангард,0:1,1:1,1:1,:,:
59,60,2016-09-02,Медвешчак,Спартак,0:0,0:0,0:1,:,:
60,61,2016-09-03,Югра,Трактор,1:1,0:0,0:0,0:0,1:0
61,62,2016-09-03,Северсталь,Ак Барс,1:0,0:1,1:1,0:1,:
